matrix_id,system,training_data_overlap_control,source_location,evidence_note,audit_scope
FMS0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0676,From Capabilities to Performance,not located,public full text; https://arxiv.org/pdf/2509.14289,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0677,From Controlled to the Wild,not located,"Public full text: Sections 1-4, target-selection protocol, finding-to-ground-truth pipeline, trajectory execution, and evaluation procedure.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0684,From LLMs to Agents,not located,public full text; https://arxiv.org/pdf/2511.08060,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0698,From Trace to Line,not located,public full text; https://arxiv.org/pdf/2510.02389,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0718,GapForge,not located,public full text; https://arxiv.org/pdf/2607.15762,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0733,GoAT-X,not located,public full text; https://arxiv.org/pdf/2604.24341,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0734,GPTScan,not located,public full text; https://arxiv.org/pdf/2308.03314,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,not located,public full text; https://arxiv.org/pdf/2509.07939,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0742,Guiding AI to Fix Its Own Flaws,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0747,HackSynth,not located,public full text; https://arxiv.org/pdf/2412.01778,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0752,HarnessAgent,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,not located,public full text; https://arxiv.org/pdf/2411.18143,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0768,Hound,not located,public full text; https://arxiv.org/pdf/2510.09633,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,not located,public full text; https://spectrum.library.concordia.ca/id/eprint/996544/1/Dai_MA_F2025.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0850,Large Language Model assisted Hybrid Fuzzing,not located,public full text; https://arxiv.org/pdf/2412.15931,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0885,Let the Trial Begin,not located,"Public full text: Sections 2-4, Fig. 1, role-specific debate sequence, review-board decision, and PrimeVul evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0890,LibLMFuzz,not located,public full text; https://arxiv.org/pdf/2507.15058,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0904,LLM Agents for Automated Web Vulnerability Reproduction,not located,public full text; https://arxiv.org/pdf/2510.14700,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0913,LLM-based Vulnerability Detection at Project Scale,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0914,LLM-BSCVM,not located,public full text; https://arxiv.org/pdf/2505.17416,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0916,LLM-Driven SAST-Genius,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0922,LLM-JDFuzz,explicit control,"Reviewed full text, p. 13",proxy classes generated at runtime. 4.3.4. Evaluation on Post-Cutoff Gadget Chains To validate that LLM-JDFuzz performs genuine reasoning rather than mere memo-,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0925,LLM-SmartAudit,not located,"Public full text: Sections 3-4, multi-agent conversation workflow, labeled and real-world datasets, final report stage, and evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0927,LLM4CVE,not located,public full text; https://arxiv.org/pdf/2501.03446,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0933,LLMs and Fuzzing in Tandem,not located,public full text; https://arxiv.org/pdf/2507.05272,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Model,not located,public full text; https://arxiv.org/pdf/2510.10179,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0945,Locus,not located,public full text; https://obj.umiacs.umd.edu/locus/2508.21302v3.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0961,Mapping the Exploitation Surface,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1, p. 3",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0964,MARVEL,not located,public full text; https://arxiv.org/pdf/2505.11963,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0966,MASFuzzer,not located,public full text; https://arxiv.org/pdf/2604.17977,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0968,Mastermind,not located,Public full text: system overview and policy/experience loops in Fig. 1; method sections; CyberGym evaluation and verifier definition.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learni,not located,public full text; https://arxiv.org/pdf/2506.17642,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1017,Multi-Agent Penetration Testing AI for the Web,not located,public full text; https://arxiv.org/pdf/2508.20816,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1024,Mystique,not located,public full text; https://chenbihuan.github.io/paper/fse25-wu-mystique.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,not located,public full text; https://arxiv.org/pdf/2504.16057,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1041,Okara,not located,"Public full text and extracted mechanism/evaluation locations: p. 3, p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1055,"One Signature, Multiple Payments",not located,public full text; https://arxiv.org/pdf/2511.09134,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1063,Orion,not located,public full text; https://arxiv.org/pdf/2509.15195,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1076,PATCHEVAL,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1081,Pen-Strategist,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1, p. 4",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1083,PenForge,not located,public full text; https://arxiv.org/pdf/2601.06910,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1087,PentestEval,not located,public full text; https://arxiv.org/pdf/2512.14233,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1088,PentestMCP,not located,public full text; https://assets-eu.researchsquare.com/files/rs-7582841/v1_covered_6b896846-7fe1-4369-88c9-9aba18c15e3f.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1093,PILOT,not located,public full text; https://arxiv.org/pdf/2511.20555,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1095,PoCEvolve,not located,public full text; https://arxiv.org/pdf/2607.22076,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1096,PoCGen,not located,public full text; https://arxiv.org/pdf/2506.04962,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1098,PoCo,not located,public full text; https://arxiv.org/pdf/2511.02780,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1135,QLCoder,explicit control,"Reviewed full text, p. 8",111 64 57.7 0.676 0.702 2025+ (Post-cutoff) 65 30 46.2 0.555 0.583 Overall 176 9,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1136,QLPro,not located,public full text; https://arxiv.org/pdf/2506.23644,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1149,RapidPen,not located,public full text; https://arxiv.org/pdf/2502.16730,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1161,Red-MIRROR,not located,public full text; https://arxiv.org/pdf/2603.27127,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1227,SAVANT,not located,public full text; https://arxiv.org/pdf/2506.17798,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1228,SCAFFOLD-CEGIS,discussion only,"Reviewed full text, p. 3","icity, al. [6] focus on attribution analysis, aiming to separate vulnerabilities caused by pretraining-data contamination repair and in-execution repair, and identify failure modes from those caused by alignment failure at inference. Ti- caused",Reporting-status extraction only; it does not test whether contamination occurred.
FMS1233,SCGAgent,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1239,SEC-bench Pro,not located,public full text; https://arxiv.org/pdf/2605.26548,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1261,SecureFixAgent,not located,public full text; https://arxiv.org/pdf/2509.16275,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1275,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and ,not located,public full text; https://arxiv.org/pdf/2509.09970,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1279,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerabi,not located,public full text; https://arxiv.org/pdf/2502.18515,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1283,Securing the Dark Matter,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1299,Security in a Workflow,not located,"Public full text: Sections 3.1-3.5, especially role workflow and evaluation; Section 4 results and Table 4.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1316,SeedSmith,not located,Public full text: Sections 4.1-4.3 and Fig. 3; Sections 6.1-6.4; Appendix D-E reproduction material.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1334,ShadowProbe,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1338,Sifting the Noise,explicit control,"Reviewed full text, p. 1",ld open-source Java projects. We further conduct a focused post-cutoff C/C++ study using the strongest configuration to test contamination-free generalization and isolat,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1394,StealthBench,not located,"Public full text: Sections 1-4, Fig. 1, 14-scenario harness, ATIF trajectories, task-success oracle, and judge protocol.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1473,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,not located,"Public full text: Sections 3.1-3.4, compiler and CodeQL feedback loop, repair-pattern repository, KLEE validation, and evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1492,Towards Effective Offensive Security LLM Agents,not located,public full text; https://arxiv.org/pdf/2508.05674,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1509,Trace,not located,public full text; https://arxiv.org/pdf/2510.19254,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,not located,public full text; https://arxiv.org/pdf/2508.18370,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1530,TypePilot,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 9",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1561,VCAO,not located,public full text; https://arxiv.org/pdf/2604.08291,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1571,VEXAIoT,not located,"Public full text: Section III, Fig. 1, Algorithm 1, attack-execution feedback sequence, and Section IV results.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1573,VIPER-MCP,not located,Public full text: Section IV and Fig. 2; Algorithm 1; Section V evaluation and Table II; responsible-disclosure discussion.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1586,VulnBot,not located,public full text; https://arxiv.org/pdf/2501.13411,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1592,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 5",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1607,Well Begun is Half Done,not located,public full text; https://arxiv.org/pdf/2512.20203,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1613,What You Code Is What We Prove,not located,public full text; https://arxiv.org/pdf/2509.09291,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1618,When Fuzzing Meets Understanding,not located,public full text; https://arxiv.org/pdf/2607.10340,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1635,xOffense,not located,public full text; https://arxiv.org/pdf/2509.13021,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1639,ZERO-APT,not located,public full text; https://arxiv.org/pdf/2606.05567,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS1640,ZeroDayBench,not located,public full text; https://arxiv.org/pdf/2603.02297,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
