matrix_id,pub__record_id,pub__system_alias,pub__analytical_role,pub__coding_round,pub__year,pub__publication_status_standardized,pub__strongest_evidence_output,pub__primary_system_shape,pub__cross_stage_capabilities,pub__external_traceability,prim__system,prim__primitive_tags,prim__named_tools,prim__source_location,prim__extraction_note,domain__system,domain__title,domain__target_domain,domain__primary_system_shape,domain__principal_reported_evidence_output,domain__publication_year,domain__source_location,domain__extraction_basis,domain__extraction_scope,artifact__system,artifact__principal_reported_evidence_output,artifact__public_implementation_located,artifact__environment_or_build_instructions,artifact__trigger_replay_poc_pov_artifact,artifact__execution_trace_or_log,artifact__patch_artifact,artifact__source_location,artifact__evidence_note,artifact__audit_scope,artifact__trigger_replay_evidence_scope,task__study_title,task__principal_reported_evidence_output,task__target_domain,task__controlled_task_only_excluded,task__decision_reason,task__domain_source_location,overlap__system,overlap__training_data_overlap_control,overlap__source_location,overlap__evidence_note,overlap__audit_scope
FMS0718,FMS0718,GapForge,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,candidate judgment,feedback-driven fuzzing agent,context aggregation / rule extraction; feedback interpretation / loop adjustment,no external trace reported,GapForge,fuzzing_input_harness;symbolic_constraint;runtime_oracle,asan,"Public full text, extracted pages 1, 2, 11; https://arxiv.org/abs/2607.15762","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Fuzzing, Fuzz, Symbolic execution, coverage feedback, Coverage Feedback. Tags do not imply dynamic agent selection.",GapForge,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,"native binary, compiler, or operating system",feedback-driven fuzzing agent,candidate judgment,2026,"Public full text, extracted pages 1, 2, 11; https://arxiv.org/abs/2607.15762",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,GapForge,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 11",https://github.com/githubnext/testpilot,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 11; https://arxiv.org/abs/2607.15762",GapForge,not located,public full text; https://arxiv.org/pdf/2607.15762,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0733,FMS0733,GoAT-X,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,candidate judgment,candidate-analysis system,no qualifying label observed,author-reported external clue,GoAT-X,static_taint_specification;symbolic_constraint,foundry;Slither,"Public full text, extracted pages 1, 13; https://arxiv.org/abs/2604.24341","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, formal verification. Tags do not imply dynamic agent selection.",GoAT-X,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,smart contract and blockchain,candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 13; https://arxiv.org/abs/2604.24341",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,GoAT-X,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2604.24341,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 13; https://arxiv.org/abs/2604.24341",GoAT-X,not located,public full text; https://arxiv.org/pdf/2604.24341,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0734,FMS0734,GPTScan,target_software_study,integrated_multisource_search_through_2026-07-30,2023,preprint,candidate judgment,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,benchmark ground truth / public material,GPTScan,static_taint_specification;symbolic_constraint,Slither,"Public full text, extracted pages 1, 2, 6; https://doi.org/10.1145/3597503.3639117","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, Slither, symbolic execution. Tags do not imply dynamic agent selection.",GPTScan,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,smart contract and blockchain,candidate-analysis system,candidate judgment,2023,"Public full text, extracted pages 1, 2, 6; https://doi.org/10.1145/3597503.3639117",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,GPTScan,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2308.03314,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 6; https://doi.org/10.1145/3597503.3639117",GPTScan,not located,public full text; https://arxiv.org/pdf/2308.03314,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0741,FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,controlled task completion,long-horizon pentest and CRS agent,context aggregation / rule extraction,benchmark ground truth / public material,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,recon_scan_pentest,Burp Suite;Metasploit;Nessus;NMap;Nmap;nmap,"Public full text, extracted pages 1; https://arxiv.org/abs/2509.07939","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Penetration Testing, penetration testing. Tags do not imply dynamic agent selection.",Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2509.07939",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.07939,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2509.07939",Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,not located,public full text; https://arxiv.org/pdf/2509.07939,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0742,FMS0742,Guiding AI to Fix Its Own Flaws,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,benchmark ground truth / public material,Guiding AI to Fix Its Own Flaws,static_taint_specification,CodeQL;codeql,"Public full text, extracted pages 1; https://arxiv.org/abs/2506.23034",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: CodeQL. Tags do not imply dynamic agent selection.,Guiding AI to Fix Its Own Flaws,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2506.23034",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Guiding AI to Fix Its Own Flaws,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2506.23034",Guiding AI to Fix Its Own Flaws,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0747,FMS0747,HackSynth,target_software_study,integrated_multisource_search_through_2026-07-30,2024,preprint,controlled task completion,long-horizon pentest and CRS agent,context aggregation / rule extraction,benchmark ground truth / public material,HackSynth,recon_scan_pentest,gdb;Metasploit;nessus;Nessus;nmap;OpenVAS;openvas;OpenVas,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.01778","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Penetration Testing, Nessus. Tags do not imply dynamic agent selection.",HackSynth,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2024,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.01778",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,HackSynth,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2412.01778,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2412.01778",HackSynth,not located,public full text; https://arxiv.org/pdf/2412.01778,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0752,FMS0752,HarnessAgent,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,controlled task completion,feedback-driven fuzzing agent,no qualifying label observed,benchmark ground truth / public material,HarnessAgent,fuzzing_input_harness;runtime_oracle,addresssanitizer;Addresssanitizer;Afl;Docker;libfuzzer,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2512.03420","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Fuzzing, fuzzing, runtime feedback. Tags do not imply dynamic agent selection.",HarnessAgent,HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines,"repository, package, or source code",feedback-driven fuzzing agent,controlled task completion,2025,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2512.03420",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,HarnessAgent,controlled task completion,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2512.03420",HarnessAgent,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0753,FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,target_software_study,integrated_multisource_search_through_2026-07-30,2024,preprint,controlled task completion,feedback-driven fuzzing agent,no qualifying label observed,benchmark ground truth / public material,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,fuzzing_input_harness;runtime_oracle,AFL;Docker;Honggfuzz;HONGGFUZZ;honggfuzz;libFuzzer;LibFuzzer,"Public full text, extracted pages 1, 2, 9; https://arxiv.org/abs/2411.18143","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Seed Generation, Fuzzing, runtime feedback, coverage feedback. Tags do not imply dynamic agent selection.",Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,"native binary, compiler, or operating system",feedback-driven fuzzing agent,controlled task completion,2024,"Public full text, extracted pages 1, 2, 9; https://arxiv.org/abs/2411.18143",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2411.18143,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,controlled task completion,"native binary, compiler, or operating system",no,"Retained: principal output is controlled task completion, but the author-audited target domain is native binary, compiler, or operating system.","Public full text, extracted pages 1, 2, 9; https://arxiv.org/abs/2411.18143",Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,not located,public full text; https://arxiv.org/pdf/2411.18143,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0768,FMS0768,Hound,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,candidate judgment,candidate-analysis system,validation organization / evidence packaging; long-horizon state management,benchmark ground truth / public material,Hound,static_taint_specification,not specified,"Public full text, extracted pages 4; https://arxiv.org/abs/2510.09633",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Static Analysis. Tags do not imply dynamic agent selection.,Hound,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 4; https://arxiv.org/abs/2510.09633",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Hound,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.09633,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 4; https://arxiv.org/abs/2510.09633",Hound,not located,public full text; https://arxiv.org/pdf/2510.09633,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0782,FMS0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,target_software_study,integrated_multisource_search_through_2026-07-30,2024,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,benchmark ground truth / public material,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,static_taint_specification,CodeQL;codeql,"Public full text, extracted pages 2; https://arxiv.org/abs/2408.10495",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: CodeQL. Tags do not imply dynamic agent selection.,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 2; https://arxiv.org/abs/2408.10495",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,reproducible validation,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2; https://arxiv.org/abs/2408.10495",How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0800,FMS0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,benchmark ground truth / public material,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,static_taint_specification;symbolic_constraint,CodeQL;KLEE,"Public full text, extracted pages 1; https://arxiv.org/abs/2601.00509","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, CodeQL, KLEE, symbolic execution. Tags do not imply dynamic agent selection.",Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2601.00509",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2601.00509",Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0842,FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,target_software_study,integrated_multisource_search_through_2026-07-30,2025,report/other,controlled task completion,long-horizon pentest and CRS agent,no qualifying label observed,benchmark ground truth / public material,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,fuzzing_input_harness;symbolic_constraint;runtime_oracle;recon_scan_pentest,AFL;Burp Suite;Metasploit;Nessus;Nikto;Nmap;nmap;OpenVAS,"Public full text, extracted pages 3, 19, 34, 40, 100; https://orcid.org/0009-0004-1073-526X","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Fuzz, AFL, symbolic reasoning, execution feedback, Penetration Testing, penetration testing. Tags do not imply dynamic agent selection.",Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 3, 19, 34, 40, 100; https://orcid.org/0009-0004-1073-526X",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,controlled task completion,not located,not located,not located,not located,not located,public full text; https://spectrum.library.concordia.ca/id/eprint/996544/1/Dai_MA_F2025.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 3, 19, 34, 40, 100; https://orcid.org/0009-0004-1073-526X",Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,not located,public full text; https://spectrum.library.concordia.ca/id/eprint/996544/1/Dai_MA_F2025.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0850,FMS0850,Large Language Model assisted Hybrid Fuzzing,target_software_study,integrated_multisource_search_through_2026-07-30,2026,journal,controlled task completion,feedback-driven fuzzing agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;failure reuse / strategy update,no external trace reported,Large Language Model assisted Hybrid Fuzzing,fuzzing_input_harness;symbolic_constraint;runtime_oracle,AFL;KLEE;Klee;Z3,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.15931","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Fuzzing, fuzzing, concolic execution, execution trace, runtime feedback. Tags do not imply dynamic agent selection.",Large Language Model assisted Hybrid Fuzzing,Large Language Model assisted Hybrid Fuzzing,"repository, package, or source code",feedback-driven fuzzing agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.15931",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Large Language Model assisted Hybrid Fuzzing,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2412.15931,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Large Language Model assisted Hybrid Fuzzing,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1; https://arxiv.org/abs/2412.15931",Large Language Model assisted Hybrid Fuzzing,not located,public full text; https://arxiv.org/pdf/2412.15931,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0885,FMS0885,Let the Trial Begin,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,candidate judgment,candidate-analysis system,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,benchmark ground truth / public material,Let the Trial Begin,static_taint_specification,not specified,"Public full text, extracted pages 11; https://doi.org/10.1145/3744916.3773256",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis. Tags do not imply dynamic agent selection.,Let the Trial Begin,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,"web application, API, or database",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 11; https://doi.org/10.1145/3744916.3773256",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Let the Trial Begin,candidate judgment,not located,not located,not located,not located,not located,"Public full text: Sections 2-4, Fig. 1, role-specific debate sequence, review-board decision, and PrimeVul evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 11; https://doi.org/10.1145/3744916.3773256",Let the Trial Begin,not located,"Public full text: Sections 2-4, Fig. 1, role-specific debate sequence, review-board decision, and PrimeVul evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0890,FMS0890,LibLMFuzz,target_software_study,integrated_multisource_search_through_2026-07-30,2025,conference,controlled task completion,feedback-driven fuzzing agent,feedback interpretation / loop adjustment,benchmark ground truth / public material,LibLMFuzz,static_taint_specification;fuzzing_input_harness,AFL;libFuzzer;LibFuzzer,"Public full text, extracted pages 1, 2, 5; https://doi.org/10.1109/cars67163.2025.11337309","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, Fuzz, Fuzzing. Tags do not imply dynamic agent selection.",LibLMFuzz,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,"native binary, compiler, or operating system",feedback-driven fuzzing agent,controlled task completion,2025,"Public full text, extracted pages 1, 2, 5; https://doi.org/10.1109/cars67163.2025.11337309",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,LibLMFuzz,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2507.15058,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,controlled task completion,"native binary, compiler, or operating system",no,"Retained: principal output is controlled task completion, but the author-audited target domain is native binary, compiler, or operating system.","Public full text, extracted pages 1, 2, 5; https://doi.org/10.1109/cars67163.2025.11337309",LibLMFuzz,not located,public full text; https://arxiv.org/pdf/2507.15058,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0904,FMS0904,LLM Agents for Automated Web Vulnerability Reproduction,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,benchmark ground truth / public material,LLM Agents for Automated Web Vulnerability Reproduction,fuzzing_input_harness;symbolic_constraint;replay_poc_pov,angr;Burp Suite;Docker;docker;Nessus,"Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2510.14700","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: fuzzing, symbolic execution, angr, Vulnerability Reproduction, vulnerability reproduction. Tags do not imply dynamic agent selection.",LLM Agents for Automated Web Vulnerability Reproduction,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2510.14700",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,LLM Agents for Automated Web Vulnerability Reproduction,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.14700,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2510.14700",LLM Agents for Automated Web Vulnerability Reproduction,not located,public full text; https://arxiv.org/pdf/2510.14700,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
