matrix_id,study_title,principal_reported_evidence_output,target_domain,controlled_task_only_excluded,decision_reason,domain_source_location
FMS0890,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,controlled task completion,"native binary, compiler, or operating system",no,"Retained: principal output is controlled task completion, but the author-audited target domain is native binary, compiler, or operating system.","Public full text, extracted pages 1, 2, 5; https://doi.org/10.1109/cars67163.2025.11337309"
FMS0904,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2510.14700"
FMS0913,LLM-based Vulnerability Detection at Project Scale: An Empirical Study,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 4, 14; https://arxiv.org/abs/2601.19239"
FMS0914,LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 4; https://arxiv.org/abs/2505.17416"
FMS0916,LLM-Driven SAST-Genius: A Hybrid Static Analysis Framework for Comprehensive and Actionable Security,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2509.15433"
FMS0922,LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 3, 4, 14, 17; https://doi.org/10.3390/electronics15050954"
FMS0925,LLM-SmartAudit: Advanced Smart Contract Vulnerability Detection,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 3, 9; https://arxiv.org/abs/2410.09381"
FMS0927,LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 5, 16; https://arxiv.org/abs/2501.03446"
FMS0933,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 7, 13; https://arxiv.org/abs/2507.05272"
FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models,runtime safety signal,"repository, package, or source code",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2510.10179"
FMS0945,Locus: Agentic Predicate Synthesis for Directed Fuzzing,runtime safety signal,"web application, API, or database",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 2, 4, 6; https://doi.org/10.1145/3744916.3773102"
FMS0961,"Mapping the Exploitation Surface: A 10,000-Trial Taxonomy of What Makes LLM Agents Exploit Vulnerabilities",controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 13; https://arxiv.org/abs/2604.04561"
FMS0964,MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2; https://doi.org/10.1145/3832325"
FMS0966,MASFuzzer: Fuzz Driver Generation and Adaptive Scheduling via Multidimensional API Sequences,runtime safety signal,"repository, package, or source code",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 2; https://arxiv.org/abs/2604.17977"
FMS0968,Mastermind: Strategy-grounded Learning for Repository-Scale Vulnerability Reproduction,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 4, 5; https://arxiv.org/abs/2607.01764"
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learning Framework Fuzzing via LLMs,runtime safety signal,mixed or general software targets,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 9, 12, 16; https://arxiv.org/abs/2506.17642"
FMS1017,Multi-Agent Penetration Testing AI for the Web,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 12; https://arxiv.org/abs/2508.20816"
FMS1024,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 3, 6, 7; https://doi.org/10.1145/3715718"
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 5, 11, 12; https://arxiv.org/abs/2504.16057"
FMS1041,Okara: Detection and Attribution of TLS Man-in-the-Middle Vulnerabilities in Android Apps with Foundation Models,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages ; https://arxiv.org/abs/2601.22770"
FMS1055,"One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts",candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2; https://doi.org/10.1145/3744916.3773198"
FMS1063,Orion: Fuzzing Workflow Automation,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 3, 5, 9, 11; https://arxiv.org/abs/2509.15195"
FMS1076,PATCHEVAL: A New Benchmark for Evaluating LLMs on Patching Real-World Vulnerabilities,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2511.11019"
FMS1081,Pen-Strategist: A Reasoning Framework for Penetration Testing Strategy Formation and Analysis,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2605.04499"
FMS1083,PenForge: On-the-Fly Expert Agent Construction for Automated Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2601.06910"
FMS1087,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 3, 4, 6, 11; https://arxiv.org/abs/2512.14233"
FMS1088,PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 22; https://doi.org/10.21203/rs.3.rs-7582841/v1"
FMS1093,"PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting",runtime safety signal,protocol and networked service,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 3; https://doi.org/10.1109/sp63933.2026.00211"
FMS1095,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 12; https://arxiv.org/abs/2607.22076"
FMS1096,PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 15; https://arxiv.org/abs/2506.04962"
FMS1098,PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 8, 17; https://doi.org/10.1145/3816704"
FMS1135,QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 10; https://arxiv.org/abs/2511.08462"
FMS1136,QLPro: Automated Code Vulnerability Discovery via LLM and Static Code Analysis Integration,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2506.23644"
FMS1149,RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2502.16730"
FMS1161,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 9, 10; https://arxiv.org/abs/2603.27127"
FMS1227,SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 5, 9; https://arxiv.org/abs/2506.17798"
FMS1228,SCAFFOLD-CEGIS: Preventing Latent Security Degradation in LLM-Driven Iterative Code Refinement,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3, 4, 6; https://arxiv.org/abs/2603.08520"
FMS1233,SCGAgent: Recreating the Benefits of Reasoning Models for Secure Code Generation with Agentic Workflows,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3, 12; https://arxiv.org/abs/2506.07313"
FMS1239,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 6; https://arxiv.org/abs/2605.26548"
FMS1261,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1, 5, 6; https://doi.org/10.1109/icmla66185.2025.00212"
FMS1275,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and Patching,reproducible validation,"firmware, embedded, IoT, or OT",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 8; https://doi.org/10.1109/cascon66301.2025.00044"
FMS1279,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move,controlled task completion,smart contract and blockchain,no,"Retained: principal output is controlled task completion, but the author-audited target domain is smart contract and blockchain.","Public full text, extracted pages 3; https://arxiv.org/abs/2502.18515"
FMS1283,Securing the Dark Matter: A Semantic-Enhanced Neuro-Symbolic Framework for Supply Chain Analysis of Opaque Industrial Software,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 4, 5; https://arxiv.org/abs/2605.07737"
FMS1299,Security in a Workflow: Exploring Role-Based Agentic Architectures for Vulnerability Handling,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2606.14261"
FMS1316,SeedSmith: LLM-Driven Seed Synthesis for Directed Fuzzing,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 4, 13; https://arxiv.org/abs/2607.08949"
FMS1334,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2607.05474"
FMS1338,Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 3; https://doi.org/10.1145/3832100"
FMS1394,StealthBench: Measuring Operational Stealth in Autonomous Offensive-Security Agents,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1, 5; https://arxiv.org/abs/2607.26314"
FMS1473,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,reproducible validation,"firmware, embedded, IoT, or OT",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2; https://arxiv.org/abs/2607.21641"
FMS1492,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 3, 7, 8; https://arxiv.org/abs/2508.05674"
FMS1509,Trace: Securing Smart Contract Repository Against Access Control Vulnerability,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 11; https://arxiv.org/abs/2510.19254"
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 9, 10, 14, 30; https://arxiv.org/abs/2508.18370"
FMS1530,TypePilot: Leveraging the Scala Type System for Secure LLM-generated Code,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 4, 9; https://arxiv.org/abs/2510.11151"
FMS1561,VCAO: Verifier-Centered Agentic Orchestration for Strategic OS Vulnerability Discovery,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 3; http://arxiv.org/abs/2604.08291"
FMS1571,VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents,controlled task completion,"firmware, embedded, IoT, or OT",no,"Retained: principal output is controlled task completion, but the author-audited target domain is firmware, embedded, IoT, or OT.","Public full text, extracted pages 1, 6; https://arxiv.org/abs/2607.09653"
FMS1573,VIPER-MCP: Detecting and Exploiting Taint-Style Vulnerabilities in Model Context Protocol Servers,reproducible validation,protocol and networked service,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 4; https://arxiv.org/abs/2605.21392"
FMS1586,VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 5, 6, 12; https://arxiv.org/abs/2501.13411"
FMS1592,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 3, 11; https://arxiv.org/abs/2409.16701"
FMS1607,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 5, 6, 12, 13; https://doi.org/10.1145/3744916.3773218"
FMS1613,What You Code Is What We Prove: Translating BLE App Logic into Formal Models with LLMs for Vulnerability Detection,candidate judgment,"firmware, embedded, IoT, or OT",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2; https://arxiv.org/abs/2509.09291"
FMS1618,When Fuzzing Meets Understanding: LLM-Driven Semantic Test Generation for RTL Verification,runtime safety signal,"firmware, embedded, IoT, or OT",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 2; https://arxiv.org/abs/2607.10340"
FMS1635,xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 6, 7; https://arxiv.org/abs/2509.13021"
FMS1639,ZERO-APT: A Closed-Loop Adversarial Framework for LLM-Driven Automated Penetration Testing under Intelligent Defense,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2606.05567"
FMS1640,ZeroDayBench: Evaluating LLM Agents on Unseen Zero-Day Vulnerabilities for Cyberdefense,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages ; https://arxiv.org/abs/2603.02297"
U01,RAVEN: Agentic RAG for Automated Vulnerability Repair,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion)."
U02,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study)."
U03,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing",reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (architecture and dynamic verification), pp. 6–10 (evaluation/results), and pp. 13–14 (limitations/conclusion)."
U04,Code-Augur: Agentic Vulnerability Detection via Specification Inference,runtime safety signal,mixed or general software targets,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings)."
U05,Transferable Self-Evolving Playbooks for Agentic Security Auditing,candidate judgment,mixed or general software targets,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings)."
U06,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–8 (oracle-guided design), pp. 8–13 (Magma CVE evaluation and new-finding study), and pp. 13–14 (limitations/disclosure)."
U07,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–7 (neuro-symbolic pipeline), pp. 14–17 (evaluation and CVE rediscovery), and pp. 20–23 (discussion/conclusion)."
U08,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer)."
U09,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary)."
U10,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion)."
U11,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion)."
U12,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (Slicer/Discover/Validator), pp. 6–10 (runtime-oracle evaluation and limitations)."
U13,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,runtime safety signal,mixed or general software targets,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls)."
U14,Agentic Fuzzing: Opportunities and Challenges,externally traceable material,mixed or general software targets,no,"Retained: principal output is externally traceable material, not controlled task completion.","Paper pp. 1–7 (AFuzz pipeline), pp. 7–12 (evaluation, Table 1/issue mappings and discussion)."
U15,Root-Cause-Driven Automated Vulnerability Repair,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion)."
U16,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes)."
U17,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–5 (multi-island fuzzing), pp. 5–12 (evaluation and upstream issue classification), and p. 13 (artifact/disclosure)."
U18,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,controlled task completion,"firmware, embedded, IoT, or OT",no,"Retained: principal output is controlled task completion, but the author-audited target domain is firmware, embedded, IoT, or OT.","Paper pp. 1–7 (APIOT mission cycle and controls), pp. 7–16 (290-run evaluation and patch verification), and pp. 16–17 (limitations/tools)."
U21,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,controlled task completion,mixed or general software targets,no,"Retained: principal output is controlled task completion, but the author-audited target domain is mixed or general software targets.","Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations)."
U22,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,controlled task completion,mixed or general software targets,no,"Retained: principal output is controlled task completion, but the author-audited target domain is mixed or general software targets.","Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility)."
U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,controlled task completion,mixed or general software targets,no,"Retained: principal output is controlled task completion, but the author-audited target domain is mixed or general software targets.","Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation)."
U25,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study)."
U26,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,candidate judgment,mixed or general software targets,no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results)."
U27,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation)."
U28,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations)."
U29,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary)."
U31,Fuzzing with Agents? Generators Are All You Need,controlled task completion,mixed or general software targets,no,"Retained: principal output is controlled task completion, but the author-audited target domain is mixed or general software targets.","Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion)."
U32,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results)."
U33,VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection,runtime safety signal,"repository, package, or source code",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations)."
U34,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,runtime safety signal,"repository, package, or source code",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion)."
U35,vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Paper pp. 1–6 (memory/tool design), pp. 6–11 (benchmark and zero-day case study), pp. 11–13 (limitations/disclosure)."
U36,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix)."
U37,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,externally traceable material,"repository, package, or source code",no,"Retained: principal output is externally traceable material, not controlled task completion.","Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices."
U38,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion)."
U39,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,controlled task completion,"native binary, compiler, or operating system",no,"Retained: principal output is controlled task completion, but the author-audited target domain is native binary, compiler, or operating system.","Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations)."
U40,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion)."
