"task_id","sample_id","case_id","record_id","title","field","field_type","allowed_labels","material_path","material_sha256","reviewer_label","evidence_locator","evidence_excerpt","reviewer_reason","reviewer_confidence"
"FMRC-T065","FMRC-013","A169","FMS0733","GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-013.pdf","af76588e22cf069dcd27d99b0e904e27b12f504f0f6081b36facfce467e2e55c","author-reported external clue","PDF page 8, extracted text line 760","in the codebase is assigned a stable identifier derived from","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T066","FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-014.pdf","796d99a3611c63ca9de8615b062d8c3c0774ed6301ba52ab68af033757a74ce8","candidate analysis;patch validation","PDF page 6, extracted text line 254","as the Code Generator but with a different prompt that focuses on improving the code quality based on","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T067","FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-014.pdf","796d99a3611c63ca9de8615b062d8c3c0774ed6301ba52ab68af033757a74ce8","context aggregation / rule extraction;validation organization / evidence packaging","PDF page 6, extracted text line 272","modified code, selecting the appropriate RAG based on the input language and able to perform Solidity to","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T068","FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-014.pdf","796d99a3611c63ca9de8615b062d8c3c0774ed6301ba52ab68af033757a74ce8","reproduction-, validation-, and repair-centered agent","PDF p.1","These vulnerabilities, often stemming from coding errors or design flaws, can be exploited by malicious actors, leading to significant financial losses and damage to the reputation of blockchain projects. The financial implications of smart contract vulnerabilities are substantial.","Independent recheck supports reproduction-, validation-, and repair-centered agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T069","FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-014.pdf","796d99a3611c63ca9de8615b062d8c3c0774ed6301ba52ab68af033757a74ce8","reproducible validation","PDF p.1","These vulnerabilities, often stemming from coding errors or design flaws, can be exploited by malicious actors, leading to significant financial losses and damage to the reputation of blockchain projects. The financial implications of smart contract vulnerabilities are substantial.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T070","FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-014.pdf","796d99a3611c63ca9de8615b062d8c3c0774ed6301ba52ab68af033757a74ce8","no external trace reported","PDF page 1, extracted text line 31","Smart contracts, self-executing agreements with terms directly written into code, have emerged as a cornerstone","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T071","FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-015.pdf","6918388e85ed36b45daca4689b0401ce2350293d172219ccd580ea8b6c4c8eca","candidate analysis;patch validation;reporting and audit","PDF page 5, extracted text line 507","and dependencies, generates repair code that complies with","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T072","FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-015.pdf","6918388e85ed36b45daca4689b0401ce2350293d172219ccd580ea8b6c4c8eca","context aggregation / rule extraction;validation organization / evidence packaging;long-horizon state management","PDF page 6, extracted text line 583","the contract code. We then used cosine similarity to measure","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T073","FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-015.pdf","6918388e85ed36b45daca4689b0401ce2350293d172219ccd580ea8b6c4c8eca","reproduction-, validation-, and repair-centered agent","PDF p.1","However, the automated execution fea- ture of smart contracts makes them vulnerable to potential attacks due to inherent flaws, which can lead to severe secu- rity risks and financial losses, even threatening the integrity of the entire decentralized finance system.","Independent recheck supports reproduction-, validation-, and repair-centered agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T074","FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-015.pdf","6918388e85ed36b45daca4689b0401ce2350293d172219ccd580ea8b6c4c8eca","reproducible validation","PDF p.1","However, the automated execution fea- ture of smart contracts makes them vulnerable to potential attacks due to inherent flaws, which can lead to severe secu- rity risks and financial losses, even threatening the integrity of the entire decentralized finance system.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T075","FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-015.pdf","6918388e85ed36b45daca4689b0401ce2350293d172219ccd580ea8b6c4c8eca","no external trace reported","PDF page 5, extracted text line 497","standard from the CVE vulnerability database. Based on a","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T076","FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-016.pdf","becaeb4bd7911e292f2a5ebfc4ad9b40dadbf0d1cd813b4a22d977032ae1bb9c","candidate analysis","PDF page 21, extracted text line 2369","Figure 3: Source/Sink Agent discovering XSS sources and sinks in mrk.js through iterative code exploration.","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T077","FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-016.pdf","becaeb4bd7911e292f2a5ebfc4ad9b40dadbf0d1cd813b4a22d977032ae1bb9c","context aggregation / rule extraction;tool routing / strategy routing","PDF page 1, extracted text line 14","it difficult to identify relevant sources/sinks and establish taint","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T078","FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-016.pdf","becaeb4bd7911e292f2a5ebfc4ad9b40dadbf0d1cd813b4a22d977032ae1bb9c","feedback-driven fuzzing agent","PDF p.1","Dynamic approaches trace function calls during test execution, but remain bounded by test coverage and require safely executing code that may be malicious or difficult to build reliably [7].","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T079","FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-016.pdf","becaeb4bd7911e292f2a5ebfc4ad9b40dadbf0d1cd813b4a22d977032ae1bb9c","reproducible validation","PDF p.1","Dynamic approaches trace function calls during test execution, but remain bounded by test coverage and require safely executing code that may be malicious or difficult to build reliably [7].","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T080","FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-016.pdf","becaeb4bd7911e292f2a5ebfc4ad9b40dadbf0d1cd813b4a22d977032ae1bb9c","author-reported external clue","PDF page 13, extracted text line 1464","novel if: (1) there does not exist a GHSA or CVE that","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T081","FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-017.pdf","87b99c586fde0faf2916338208c3ca2be2b54f6a4954a2b7407d2a2f3f59b3e6","candidate analysis","PDF page 3, extracted text line 241","nerability reports, and code abstraction. Simi-","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T082","FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-017.pdf","87b99c586fde0faf2916338208c3ca2be2b54f6a4954a2b7407d2a2f3f59b3e6","no qualifying label observed","PDF page 16, extracted text line 1237","vulnerabilities. Then, I can use the tools to get more context by examining the callers","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T083","FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-017.pdf","87b99c586fde0faf2916338208c3ca2be2b54f6a4954a2b7407d2a2f3f59b3e6","reproduction-, validation-, and repair-centered agent","PDF p.1","These benchmarks primarily focus on function- level vulnerability detection, where a single func- tion is input to a detector for label prediction without considering the broader repository con- text. In contrast, real-world vulnerabilities—such as null pointer dereference (NPD)—often arise within multi-hop function call chains, and not in isolated functions.","Independent recheck supports reproduction-, validation-, and repair-centered agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T084","FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-017.pdf","87b99c586fde0faf2916338208c3ca2be2b54f6a4954a2b7407d2a2f3f59b3e6","reproducible validation","PDF p.1","These benchmarks primarily focus on function- level vulnerability detection, where a single func- tion is input to a detector for label prediction without considering the broader repository con- text. In contrast, real-world vulnerabilities—such as null pointer dereference (NPD)—often arise within multi-hop function call chains, and not in isolated functions.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T085","FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-017.pdf","87b99c586fde0faf2916338208c3ca2be2b54f6a4954a2b7407d2a2f3f59b3e6","no external trace reported","PDF page 15, extracted text line 1144","Figure 7 illustrates the case study derived from CVE-2019-15164 (details at","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T086","FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-018.pdf","1e861d30458721a390a4fcdde91fa098cbd034edb65510ec57d332f9af9a294a","candidate analysis;path and input exploration;execution observation;reproduction and validation","PDF page 27, extracted text line 1119","2. Exploitation tasks: The agents receive both the target codebase and a description of a specific","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T087","FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-018.pdf","1e861d30458721a390a4fcdde91fa098cbd034edb65510ec57d332f9af9a294a","context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management;failure reuse / strategy update","PDF page 30, extracted text line 1232","a hidden flag. Based on the provided inputs, there is no evidence that an investigation was","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T088","FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-018.pdf","1e861d30458721a390a4fcdde91fa098cbd034edb65510ec57d332f9af9a294a","long-horizon pentest and CRS agent","PDF p.1","We proposeCo - Re d Te am, a security-aware multi-agent framework designed to mirror real-world red-teaming workflows by integrating security- domain knowledge, code-aware analysis, execution-grounded iterative reasoning, and long-term memory. Co - Re d Te amdecomposes vulnerability analysis into coordinated discovery and exploitation stages, enabling agents to plan, execute, validate, and refine actions based on real execution feedback while learning from prior trajectories.","Independent recheck supports long-horizon pentest and CRS agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T089","FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-018.pdf","1e861d30458721a390a4fcdde91fa098cbd034edb65510ec57d332f9af9a294a","reproducible validation","PDF p.1","We proposeCo - Re d Te am, a security-aware multi-agent framework designed to mirror real-world red-teaming workflows by integrating security- domain knowledge, code-aware analysis, execution-grounded iterative reasoning, and long-term memory. Co - Re d Te amdecomposes vulnerability analysis into coordinated discovery and exploitation stages, enabling agents to plan, execute, validate, and refine actions based on real execution feedback while learning from prior trajectories.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T090","FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-018.pdf","1e861d30458721a390a4fcdde91fa098cbd034edb65510ec57d332f9af9a294a","no external trace reported","PDF page 1, extracted text line 50","et al., 2024), BountyBench (Zhang et al., 2025a), and CyberGym (Wang et al., 2025) shows that","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T091","FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-019.pdf","583b88e4aab0e9f61527fb5eaf51d22d27cf91ab2355e3364705bcb414857984","candidate analysis;path and input exploration;execution observation","PDF page 9, extracted text line 1043","generate canaries based on diverse representations of the target","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T092","FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-019.pdf","583b88e4aab0e9f61527fb5eaf51d22d27cf91ab2355e3364705bcb414857984","tool routing / strategy routing;feedback interpretation / loop adjustment","PDF page 2, extracted text line 143","the target states, providing fine-grained progress feedback to guide","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T093","FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-019.pdf","583b88e4aab0e9f61527fb5eaf51d22d27cf91ab2355e3364705bcb414857984","long-horizon pentest and CRS agent","PDF p.1","Agentic Predicate Synthesis for Directed Fuzzing Jie Zhu University of Chicago Chicago, USA Chihao Shen University of Maryland College Park, USA Ziyang Li Johns Hopkins University Baltimore, USA Jiahao Yu Northwestern University Evanston, USA Yizheng Chen University of Maryland College Park, USA Kexin Pei University of Chicago Chicago, USA Abstract Directed fuzzing aims to find program inputs that lead to specified target program states. It has broad applications, such as debugging system crashes, confirming reported bugs, and generating exploits for potential vulnerabilities.","Independent recheck supports long-horizon pentest and CRS agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T094","FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-019.pdf","583b88e4aab0e9f61527fb5eaf51d22d27cf91ab2355e3364705bcb414857984","reproducible validation","PDF p.1","Agentic Predicate Synthesis for Directed Fuzzing Jie Zhu University of Chicago Chicago, USA Chihao Shen University of Maryland College Park, USA Ziyang Li Johns Hopkins University Baltimore, USA Jiahao Yu Northwestern University Evanston, USA Yizheng Chen University of Maryland College Park, USA Kexin Pei University of Chicago Chicago, USA Abstract Directed fuzzing aims to find program inputs that lead to specified target program states. It has broad applications, such as debugging system crashes, confirming reported bugs, and generating exploits for potential vulnerabilities.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T095","FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-019.pdf","583b88e4aab0e9f61527fb5eaf51d22d27cf91ab2355e3364705bcb414857984","author-reported external clue","PDF page 3, extracted text line 326","Figure 1: A motivating example (CVE-2013-6954) showing how Locus complements existing works. (a) Traditional approaches","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T096","FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-020.pdf","d6f59b12622321cce1609ec4de14032741c0d2e7bb341486cbc12890248f3e93","candidate analysis;path and input exploration;execution observation;reproduction and validation","PDF page 9, extracted text line 707","once given access can run commands input by the user. The","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T097","FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-020.pdf","d6f59b12622321cce1609ec4de14032741c0d2e7bb341486cbc12890248f3e93","tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management","PDF page 3, extracted text line 217","attack execution agent then uses this information to determine","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T098","FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-020.pdf","d6f59b12622321cce1609ec4de14032741c0d2e7bb341486cbc12890248f3e93","long-horizon pentest and CRS agent","PDF p.1","The framework combines a vulnerability detection agent and an attack execution agent to perform reconnaissance, plan attack sequences, and execute exploits against vulnerable IoT services.","Independent recheck supports long-horizon pentest and CRS agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T099","FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-020.pdf","d6f59b12622321cce1609ec4de14032741c0d2e7bb341486cbc12890248f3e93","reproducible validation","PDF p.1","The framework combines a vulnerability detection agent and an attack execution agent to perform reconnaissance, plan attack sequences, and execute exploits against vulnerable IoT services.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T100","FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-020.pdf","d6f59b12622321cce1609ec4de14032741c0d2e7bb341486cbc12890248f3e93","no external trace reported","PDF page 5, extracted text line 364","tool. It is made up of public exploit scripts for the known CVEs","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T101","FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-021.pdf","4e69f526d3eec2f074d74288599f08ae7a09b7d522940568caf67eff3b7a5fe7","candidate analysis","PDF page 6, extracted text line 531","report. In the next phase, the SPE provides a detailed code","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T102","FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-021.pdf","4e69f526d3eec2f074d74288599f08ae7a09b7d522940568caf67eff3b7a5fe7","long-horizon state management;context aggregation / rule extraction","PDF page 5, extracted text line 507","User sending a prompt to the Assistant, which then generates a","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T103","FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-021.pdf","4e69f526d3eec2f074d74288599f08ae7a09b7d522940568caf67eff3b7a5fe7","candidate-analysis system","PDF p.1","LLMs, trained on vast text data, excel at predicting likely token sequences based on input. Unlike traditional systems with fixed rules or vulnerability databases, LLMs generate probabilistic outputs.","Independent recheck supports candidate-analysis system for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T104","FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-021.pdf","4e69f526d3eec2f074d74288599f08ae7a09b7d522940568caf67eff3b7a5fe7","candidate judgment","PDF p.1","LLMs, trained on vast text data, excel at predicting likely token sequences based on input. Unlike traditional systems with fixed rules or vulnerability databases, LLMs generate probabilistic outputs.","Independent recheck supports candidate judgment for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T105","FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-021.pdf","4e69f526d3eec2f074d74288599f08ae7a09b7d522940568caf67eff3b7a5fe7","author-reported external clue","PDF page 12, extracted text line 1090","TABLE V: Performance Comparison with Different LLM-based Auditing Methods for 13 CVEs","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T106","FMRC-022","A142","CP249","QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-022.pdf","5a37521be0a66654ea098a9dbaf6b20c7f0819df98b953649313dbc91519c6c3","candidate analysis;path and input exploration;execution observation;reproduction and validation","PDF page 27, extracted text line 1337","12 **What can be achieved?** Can arbitrary code execution be triggered through the finding?","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
