task_id,case_id,study_title,field,field_type,allowed_labels,source_url,included_local_file,evidence_location_lead,evidence_excerpt_lead,final_label,verified_evidence_locator,brief_reason,confidence,unresolved,reviewer_initials,review_date,completion_check
R2-114,A033,VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2501.13411,papers/A033.pdf,action p.1; validation p.9,"[action p.1] performs baseline models such as GPT-4 and Llama3 in auto- capabilities of LLMs, combined with tools like Metasploit, to mated penetration testing tasks, particularly showcasing its demonstrate the efficacy of LLMs in isolated security tasks. potential in fully autonomous testing on real-world machines. Nevertheless, AutoAttacker prim [validation p.9] (CRPT), and Real-world scenarios. The experiments were To benchmark and validate our framework, we modified conducted using several state-of-the-art models, including PentestGPT, retaining all its original prompts. The Generator GPT-4o (gpt-4o-2024-08-06), Llama3.3-70B, and Llama3.1- and Executor modules extracted operational commands from 405B, both in their base configurations and integrated i",candidate analysis; execution observation,p.5；p.12; papers/A033.pdf,"candidate analysis: p.12“Victim1 Library2 Sar WestWild Symfonos2 Funbox 0.0 0.2 0.4 0.6 0.8 1.0 0.83 0.60 0.55 1.00 0.29 0.56 0.33 0.50 0.55 0.57 0.43 0.33 0.67 0.80 0.73 0.57 0.43 0.56 Llama3.1-405B-with RAG GPT-4o-with Manual Llama3.1-405B-with Manual Figure 7: Performance comparison of VulnBot with Memory Retriever module 6 Discussion The results obtained highlight VulnBot’s potential for effi- cient vulnerabi”；execution observation: p.5“This session is governed by two key mechanisms: theTask- driven Mechanism (Section 3.3.1), which organizes tasks into a directed acyclic graph, and the Check and Reflection Mechanism (Section 3.3.2), which ensures continuous im- provement and adaptation of the plan through iterative feed- back from task execution result. Task Session: This session focuses on generating specific task detai”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-115,A094,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2607.21641,papers/A094.pdf,feedback p.1; action p.1,"[feedback p.1] embedded and resource-constrained systems. platforms with limited memory, architecture- This work investigates how feedback and re- specific constraints, and fewer practical protections trieval improve reliability of LLM-generated C than general-purpose systems. In such settings, arXiv:2607.21641v1 [cs.SE] 21 Jul 2026 [action p.1] Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code Vidyut Sriram Saatvik Pradhan The Pennsylvania Stat",context aggregation / rule extraction; feedback interpretation / loop adjustment,p.1；p.3; papers/A094.pdf,"context aggregation / rule extraction: p.3“Rather than relying on a fixed external knowledge base, the repository updates in- crementally: after each task attempt, the candidate and analysis outcomes are stored and used to guide later generations.”；feedback interpretation / loop adjustment: p.1“A second line of work uses iter- ative repair driven by tool feedback, especially static analysis, to refine insecure code, showing gains on higher-level language benchmarks such as Python (Alrashedy et al., 2025).”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-116,A137,Fuzzing with Agents? Generators Are All You Need,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/abs/2604.01442,papers_corrected/A137.pdf,"https://arxiv.org/abs/2604.01442 | Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion). | excerpt pages 2","[p.2] Effective synthesis re- quires: (1) giving the agent the tooling and source context to write a generator, (2) measuring the gap between what the current gen- erator produces and what the target’s deep predicates require, and (3) iterating and refining the generator to close that gap. [p.2] Tools such as CSmith [52, 65] for C compilers and SQLancer [ 8] for database engines generate inputs that are not merely syntactically valid but semantically rich by construction: CSmith emits C programs free of undefined behavior, while SQLancer produces queries that satisfy the relational schemas and type rules of the target database.",context aggregation / rule extraction; feedback interpretation / loop adjustment,"pp.4-6, Sec. 3-3.3 and Tables 1-2; pp.8-10, Sec. 4.3-4.4","Gentoo-L 从 library source 中识别并排序重要 predicates，Gentoo-S 使用静态 dominator analysis 生成 predicate records；这些记录与上一轮 fuzzing 的 dynamic per-branch coverage report 一起交给 agent，用来识别未充分覆盖的高价值分支并修改 generator（pp.4-6, Sec. 3.1-3.3; Table 1）。因此存在“源代码/静态谓词记录和前轮覆盖反馈 -> 后续 generator refinement”的明确链条。论文没有报告长期跨任务记忆、失败样本复用机制或人工审批门槛，故不扩展到 long-horizon state、failure reuse 或 governance。",high,no,OY,2026-08-24,ready
R2-117,A072,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2505.04195,papers/A072.pdf,action p.1; validation p.3,"[action p.1] Secure Code promising tools in software development, enabling automated Requirement Generation code generation and analysis. However, their knowledge is limited to a fixed cutoff date, making them prone to genera [validation p.3] return -ENOMEM; 1. Retrieve the legacy context and initialize variables. 2. Validate the parameter format and type. if (strchr(param->key, ‘,’) || 3. Calculate the required storage space for the parameter. (param->type == fs_value_is_string && 4. Check if the options’ total length exceeds the maximum size. strchr(param->string, ‘,’))) 5. Ensure p",candidate analysis,p.12; papers/A072.pdf,"candidate analysis: p.12“While the coverage remains incomplete due to disclosure constraints, this approach demonstrates the feasibil- ity of extendingAutoPatchto additional platforms as more vulnerabilities become available.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-118,A154,What You Code Is What We Prove: Translating BLE App Logic into Formal Models with LLMs for Vulnerability Detection,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2509.09291,papers/A154.pdf,action p.1; validation p.1,"[action p.1] with LLMs for Vulnerability Detection Biwei Yan, Yue Zhang, Minghui Xu, Runyu Pan, Jinku Li, Member, IEEE, Xiuzhen Cheng, Fellow, IEEE Abstract—The application layer of Bluetooth Low Energy However, most BLE security research targets protocol [3], (BLE) is a growing source of security vulnerabilities, [validation p.1] ble for directly detecting vulnera- risks such as eavesdropping, spoofing, and replay attacks. bilities, they excel at understanding programming semantics and generating well-structured output in other representations B. Yan, Y. Zhang, M. Xu, R. Pan, and X. Che",candidate analysis,p.1; papers/A154.pdf,"candidate analysis: p.1“8, AUGUST 2021 1 What You “Code” Is What We “Prove”: Translating BLE App Logic into Formal Models with LLMs for Vulnerability Detection Biwei Yan, Yue Zhang, Minghui Xu, Runyu Pan, Jinku Li,Member, IEEE, Xiuzhen Cheng,Fellow, IEEE Abstract—The application layer of Bluetooth Low Energy (BLE) is a growing source of security vulnerabilities, as de- velopers often neglect to implement critica”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-119,A013,Synthesizing multi-agent harnesses for vulnerability discovery,primary system shape,single-label,"candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent",https://arxiv.org/abs/2604.20801,papers/A013.pdf,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 7","[p.7] Output: discovered vulnerabilities with proof- of-concept (PoC) exploit inputs. [p.7] Synthesizing Multi-Agent Harnesses for Vulnerability Discovery Target Software Chrome $ _ Terminal- Bench-2 libheif Harness DSL ⟨ A,G,Σ,Φ,Ψ⟩ AgentFlow ♂lightbulbPropose♂playExecute & Observe /char◎-barScore/stethoscopeDiagnose Harness optimize Output BUG Vulnerability PoC Exploit Figure 4: High-level overview of theAgentFlowoptimiza- tion loop (Algorithm 1).",long-horizon pentest and CRS agent,p.1; papers/A013.pdf,论文将主要系统任务表述为“LLM agents have autonomously hacked real-world websites [16]; teams of LLM agents have further improved performance on real-world zero-day web-vulnerability exploitation [48]; and agentic systems have repro- duced CTF-level exploits from natural-language descriptions [35].”。按主任务及主要评价对象，agent 控制的中心落在 long-horizon pentest and CRS agent，而不是由 agent 数量或系统名称推定。,high,no,OY,2026-08-24,ready
R2-120,A004,PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2506.04962,papers/A004.pdf,action p.1; validation p.1,"[action p.1] entary strengths of LLMs (e.g., understanding informal vulnerability reports), static analysis (e.g., identifying taint paths), and dynamic analysis (e.g., validating generated exploits). PoCGen successfully generates exploits for 71% of the vulnerabil- ities in the SecBench.js dataset. This success rate significantly outperforms a recent baseline [validation p.1] However, previous work has shown that vulnerability reports often lack proof-of-concept (PoC) exploits, which are essential for fixing the vulnerability, testing patches, and avoiding regressions. Creating a PoC exploit is challenging because vulnerability reports are informal and often incomplete, and because it requires a det",candidate analysis; path and input exploration; execution observation; reproduction and validation,p.1；p.4；p.14；p.18; papers/A004.pdf,"candidate analysis: p.1“The approach combines the complementary strengths of LLMs (e.g., understanding informal vulnerability reports), static analysis (e.g., identifying taint paths), and dynamic analysis (e.g., validating generated exploits).”；path and input exploration: p.4“To this end, the approach compiles all the available information into a prompt that asks the LLM to generate a PoC exploit.”；execution observation: p.18“PoCGen addresses this limitation by leveraging LLMs to generate exploits and by incorporating runtime feedback. LLMs, trained on large code corpora, can better predict the behavior of external functions and reason about inputs that exercise specific program paths.”；reproduction and validation: p.14“On average, each PoC exploit generation attempt takes 11 minutes. Since successful attempts stop earlier than failing attempts, which require running the refiners, the successful runs complete on average in 7 minutes.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-121,A085,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://doi.org/10.1109/VCRIS68011.2025.11250519,papers/A085.txt,"urn:isbn:979-8-3315-6687-6 | Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results). | excerpt pages 6, 1","[p.6] UniFuzz integrates three key innovations: multi-layer semantic analysis combining static, dataflow, and LLM-based under- standing; RAG-enhanced parameter generation leveraging au- dit knowledge; and collaborative multi-agent coordination with adaptive strategy selection. [p.1] Moreover, existing methods rely on fixed rule-based strategies without leveraging external security knowledge from audit reports.",context aggregation / rule extraction,p.1; papers/A085.txt,"context aggregation / rule extraction: p.1“We introduce UniFuzz, a unified framework that integrates multilayer static and semantic analysis, Retrieval-Augmented Generation (RAG) leveraging audit-driven knowledge, and orchestrated multi-agent collaboration.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-122,A121,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/abs/2602.13574,papers/A121.pdf,"https://arxiv.org/abs/2602.13574 | Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations). | excerpt pages 4, 7","[p.4] Conference’17, July 2017, Washington, DC, USA Haoyu Li, Xijia Che, Yanhao Wang, Xiaojing Liao, and Luyi Xing I.Vulnerability AnalysisCrashBacktraceExtraction*Harness Command AnalysisRoot Cause Analysis II.Code Instrumentation ØSanitizer Instrumentation ØCoverage Instrumentation III.PathExplorationTest Case Generation PcovExecution Coverage Info Collection analyzewhystuck C/C Code Repo TargetVuln Location SanitizerReport* INPUT IV.CrashTriggering Validated PoV ! [p.7] 5 Evaluation In this section, we evaluate DrillAgent through the following research questions: • RQ1:How effective is DrillAgent in generating validated PoVs for real-world C/C++ vulnerabilities? •RQ2:What isDrillAgent’s runtime overhead? • RQ3:Is root cause analysis critical for our agent to retrieve contextual dependencies efficiently? • RQ4:How does fine-grained execution coverage feedback affect DrillAgent’s performance? • RQ5:Is it necessary to decompose PoV generation into two phases (i.e., path exploration a",candidate analysis; path and input exploration; execution observation; reproduction and validation,p.3；p.4；p.7；p.9; papers/A121.pdf,"candidate analysis: p.4“static analysis tools [ 18, 24, 38, 42, 52] are proficient at source- to-sink path finding, such capabilities can be integrated into our framework. We leave this for future work. Harness Command Analysis.Constructing an accurate harness command to trigger the target vulnerability is non-trivial.”；path and input exploration: p.7“5 Evaluation In this section, we evaluate DrillAgent through the following research questions: • RQ1:How effective is DrillAgent in generating validated PoVs for real-world C/C++ vulnerabilities? •RQ2:What isDrillAgent’s runtime overhead? • RQ3:Is root cause analysis critical for our agent to retrieve contextual dependencies efficiently? • RQ4:How does fine-grained execution coverage feed”；execution observation: p.3“Common LLM agents typically can only observe program exit code and outputs, including “invalid file, ” “no fragments, ” or simply no crash. Translating these superficial signals into actionable in- sights—such as identifying that fragment merging failed to trigger despite successful parsing—is almost impossible.”；reproduction and validation: p.9“Importantly, this overhead is modest compared to traditional fuzzing-based approaches, which often require hours of execution to reproduce deep, logic-heavy vulnerabilities. For such cases, our method offers a more time-efficient alternative while maintaining deterministic PoV validation.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-123,A054,Automated Vulnerability Validation and Verification: A Large Language Model Approach,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2509.24037,papers/A054.pdf,action p.1; validation p.1,"[action p.1] ational vulnerability databases [6]. pipeline leveraging generative AI, specifically large language Assessing the impact and potential exploitation of the models (LLMs), to address the challenges of orchestrating and different software vulnerabilities and how to address them reproducing attacks to known software vulnerabilit [validation p.1] Automated Vulnerability Validation and Verification: A Large Language Model Approach Alireza Lotfi Charalampos Katsis Elisa Bertino Department of Computer Sci",path and input exploration; execution observation; reproduction and validation,p.1；p.2; papers/A054.pdf,"path and input exploration: p.1“The pipeline itera- tively refines generated artifacts, validates the success of the attack using test cases, and supports complex multi-container setups.”；execution observation: p.2“The pipeline also uses the LLM to determine the number of Docker containers necessary to execute the attack in isolated environments.”；reproduction and validation: p.2“The containers are executed to reproduce the attack, and runtime errors are iteratively addressed with the LLM until the exploit runs successfully.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-124,A199,VIPER-MCP: Detecting and Exploiting Taint-Style Vulnerabilities in Model Context Protocol Servers,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/pdf/2605.21392,papers/A199.pdf,evaluation p.2; validation p.1,"[evaluation p.2] to guide subsequent mutations. with sandboxed fuzzing. On the dynamic side, MCPSafe- In our evaluation against 39,884 real-world open-source tyScanner [13] uses a multi-agent probing architecture, while MCP server repositories, V IPER -MCP identified 106 0day the Cisco MCP Scanner [19] focuses on lightweight connec- vulnerabilities, all of which were confirmed through end-to- tivity and policy checks. Taken together, these approaches en [validation p.1] oud databases, and code exe- produce unconfirmed static alerts without dynamic validation, cution environments [8]. As adoption accelerates, MCP servers or rely on fixed template libraries that lack code-level guidance and fail to trigger vulnerabilities requiring specific parameter have evolved from prototypes into production infrastructure",author-reported external clue,p.9; papers/A199.pdf,"论文相关事实为“•Vulnerable MCP Server Dataset.This dataset comprises 130 MCP servers withknowntaint-style vulnerabilities, aggregated from two sources: (1) 67 0day vulnerable servers originally discovered by VIPER-MCP during large-scale scanning, all of which have been assigned CVE IDs and pinned at the exact vulnerable commit; and (2) 63 servers whose vulnerabilities correspond to publicly disclosed CVEs from 2025–2026, collected from the NV”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,ready
R2-125,A198,SeedSmith: LLM-Driven Seed Synthesis for Directed Fuzzing,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/pdf/2607.08949,papers/A198.pdf,validation p.1; evaluation p.2,"[validation p.1] fuzzers using SeedSmith seeds achieve geometric mean crash-time duction [59], and patch testing [51]. Unlike coverage-guided fuzzing, speedups of 11.51× (AFL++) to 14.66× (AFLGo) over default seeds. which broadly explores a program’s state space, directed fuzzers [evaluation p.2] a cheaper model handling seed generation. task from blind exploration to local refinement. Yet existing seed We evaluate SeedSmith on 23 Magma bugs and 115 ARVO chal- generation techniques fall short. Grammar-based [9, 49], format- lenges across 26 projects, to our knowledge, the largest evalua- specification-driven [18], and general LLM-prompting approaches tion of LLM-based seed generation for fuzzing to date. On Magma, such as Fuzz4All [50] produce structurally valid inputs",runtime safety signal,"p.7, Sec. 6.1; p.9, Sec. 6.2.1; papers/A198.pdf",SeedSmith 的评价以 downstream fuzzer 的 crash counts 和 time-to-crash 为主要比较指标；p.7 明确说明 RQ1 比较 crash counts/time-to-crash，p.9 报告 23 个 Magma bugs 中触发的 crash 数量及 ARVO 上的触发数量。主要结果是运行时崩溃信号，而不是把论文中的种子生成流程本身当作逐项 PoC 公开材料。,high,no,OY,2026-08-24,ready
R2-126,A185,PBFuzz: agentic directed fuzzing for PoV generation,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/abs/2512.04611,papers/A185.pdf,"https://arxiv.org/abs/2512.04611 | Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion). | excerpt pages 1, 5","[p.1] For example, our experimental results (Figure 5) on the Magma benchmark show that AFLGo can trigger only 41 CVEs, while AFL++ with Cmplog triggered 49. [p.5] For our main evaluation dataset, the Magma benchmark [33], both prerequisites are already satisfied.",author-reported external clue,p.12; papers/A185.pdf,"论文相关事实为“UBSan reported the same arithmetic violation. • CVE-2026-30997: across 16 PIER rounds, PBFuzz’s persistent memory ( workflow_state.md) converged on three semantic preconditions: an AV1 INTER frame, error_resilient_mode=1, and global motion for a reference frame.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,ready
R2-127,A019,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/abs/2603.22577,papers/A019.pdf,"https://arxiv.org/abs/2603.22577 | Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results). | excerpt pages 4","[p.4] TABLE I BENCHMARK DATASET COMPOSITION BY VULNERABILITY CATEGORY. [p.4] Dataset, LLM Models, and Implementation Details We assembled a benchmark of 15 CTF challenges drawn from multiple sources: picoCTF 1 (5 challenges), the official angr.io tutorials 2 (3 challenges), an archived university CTF (1 challenge), and legacy challenges drawn from internal repositories (6 challenges), for which complete provenance metadata is unavailable.",no external trace reported,"p.1, Abstract/Introduction; papers/A019.pdf","论文相关事实为“STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving James Hugglestone ∗, Samuel Jacob Chacko ∗, Dawson Stoller, Ryan Schmidt, Xiuwen Liu Department of Computer Science,Florida State University, Tallahassee, USA Email: jah21e@fsu.edu, sj21j@fsu.edu, dawson.stoller@aol.com, res22f@fsu.edu, xliu@fsu.edu ∗These authors contributed e”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,ready
R2-128,A117,Orion: Fuzzing Workflow Automation,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/pdf/2509.15195,papers/A117.pdf,evaluation p.2; validation p.1,"[evaluation p.2] ng fuzzers to operate at previously made it impractical. maximum speed. We evaluate Orion using a custom benchmark across two open- Seed corpora further improve fuzzing effectiveness. While fuzzers source and one proprietary library. Across these targets, Orion can start with an empty corpus, providing example inputs acceler- reduces required human effort by 46–204× depending on the work- ates progress by illustratin [validation p.1] LLM agents are validated wherever possible, and errors are fed coverage feedback once a campaign is running, but the broader back into iterative refinement loops. This mitigates the unreliability",no external trace reported,"p.1, Abstract/Introduction; papers/A117.pdf","论文相关事实为“Orion: Fuzzing Workflow Automation Max Bazalii∗ NVIDIA Santa Clara, USA mbazalii@nvidia.com Marius Fleischer∗ NVIDIA Santa Clara, USA mfleischer@nvidia.com Abstract Fuzz testing is one of the most effective techniques for finding soft- ware vulnerabilities. While modern fuzzers can generate inputs and monitor executions automatically, the overall workflow, f”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,ready
R2-129,A194,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,primary system shape,single-label,"candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent",https://arxiv.org/pdf/2505.10961,papers/A194.pdf,action p.1; role p.2,"[action p.1] vulnerable code and to provide explanations. It employs four role- lenging new benchmark called PrimeVul, where the functional dif- specific agents, which are security researcher, code author, moderator, ferences between benign and vulnerable code pairs are subtle, less and review board. Using GPT-4o as the base LLM, VulTrial almost [role p.2] ontributes positively to achieving the best performance. Beyond quantitative results, we also qualitatively eval- agents. Based on this collective information, the review board de- uate the generated explanations, examining completeness, clarity, livers a final verdict regarding the security status of the code. We","reproduction-, validation-, and repair-centered agent",p.8; papers/A194.pdf,"论文将主要系统任务表述为“Instruction-tuned P-C↑ P-V↓ P-B↓ P-R↓ None 81 179 125 50 Security researcher(SR) 54 153 187 41 Code author(CA) 52 39 314 30 Moderator(M) 96 154 134 51 Review board(RB) 72 133 183 47 SR + CA 34 40 331 30 SR + CA + M 32 37 338 28 SR + CA + M + RB 45 46 305 39 thereview boardclassifies the issue as partially valid with low sever- ity (which is below the vulnerability threshold), opting to monitor rather than patch, thereby filteri”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,ready
R2-130,A107,Cochise: A Reference Harness for Autonomous Penetration Testing,external traceability,single-label,no external trace reported | author-reported external clue | benchmark ground truth / public material | publicly aligned external trace,https://arxiv.org/pdf/2605.11671,papers/A107.pdf,evaluation p.1; validation p.1,"[evaluation p.1] starting point for new prototypes. It provides a thorough penetration-testing experiments. Cochise connects an LLM-driven JSON based trajectory log format and includes tools for subsequent agent to a Linux execution host over SSH and supports controlled data analysis of those logs. target environments reachable from that jump h [validation p.1] ated Planner–Executor archi- autonomous penetration-testing tool. A separate tool, cochise-replay, tecture in which long-term state is maintained outside the LLM allows offline replay of captured log files for later visualization. context, while a ReAct-style executor issues commands over SSH For log analysis we p",no external trace reported,"p.1, Abstract/Introduction; papers/A107.pdf","论文相关事实为“Cochise: A Reference Harness for Autonomous Penetration Testing Andreas Happe andreas.happe@tuwien.ac.at TU Wien Vienna, Austria Jürgen Cito juergen.cito@tuwien.ac.at TU Wien Vienna, Austria Abstract Recent work on LLM-driven autonomous penetration testing re- ports promising results, but existing systems often combine many architectural, prompting, and tool”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,ready
R2-131,A038,Multi-Agent Penetration Testing AI for the Web,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2508.20816,papers/A038.pdf,action p.1; validation p.1,"[action p.1] manual processes and tools requiring human interpretation. With studies showing that up to 40% of AI-generated code The core challenge lies in the semantic gap between pattern- [validation p.1] ge lan- validation, or database permissions invisible to static anal- guage model orchestration with tool-grounded execution and ysis. Conversely, business logic vulnerabilities, particularly",candidate analysis; execution observation; reproduction and validation,p.1；p.4; papers/A038.pdf,"candidate analysis: p.1“The core challenge lies in thesemantic gap between pattern- based vulnerability detection and contextual exploitation un- derstanding.”；execution observation: p.4“able 1: Agent Types and Tool Interfaces Agent Type Tool Interface and Role Coordinator Plans, orchestrates, synthesizes: sandbox_agent, run_command, run_python, get_registered_emails, list_account_messages, get_message_by_id, send_slack_alert, send_slack_summary Sandbox (1..N) Executes tactics in isolated LLM context but shared container: run_command, run_python Validation Consumes and re”；reproduction and validation: p.4“able 1: Agent Types and Tool Interfaces Agent Type Tool Interface and Role Coordinator Plans, orchestrates, synthesizes: sandbox_agent, run_command, run_python, get_registered_emails, list_account_messages, get_message_by_id, send_slack_alert, send_slack_summary Sandbox (1..N) Executes tactics in isolated LLM context but shared container: run_command, run_python Validation Consumes and re”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-132,A179,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://spectrum.library.concordia.ca/id/eprint/996544/1/Dai_MA_F2025.pdf,papers/A179.pdf,action p.11; validation p.3,"[action p.11] 2 Annual Cost of Cybercrime Worldwide . . . . . . . . . . . . . . . . . . . . . . . 4 3 Categorization of Tools for AutoPT . . . . . . . . . . . . . . . . . . . . . . . . . 7 4 Expert System-Based AutoPT: Classification of Applications . . . . . . . . . . . . 19 5 Expert System-Based AutoPT Paradigms . . . . . . . . . . . . . . . . . . . . . . 20 6 General RL Workflow . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . [validation p.3] e conducted on the Sau machine from the Hack The Box (HTB) platform, which provides realistic, legally authorized, and reproducible virtual PT environments. Results iii show that RefPentester consistently outperforms a GPT-4o baseline in both credential capture and stage transition success rates, demonstrating improved operational reliability. Beyond quantitative gains, log-based qualitative analysis reveals two key patterns: 1) t",execution observation,p.3; papers/A179.pdf,execution observation: p.3“RefPentester integrates three main components: 1) a Process Navigator that identiﬁes the current PT stage and retrieves corresponding hierarchi- cal knowledge via a retrieval-augmented generation (RAG) pipeline; 2) a Generator that produces actionable and context-aware step-by-step guidance; and 3) a Reﬂector that evaluates execution feedback and facilitates structured reﬂective learning.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。,high,no,OY,2026-08-24,ready
