"case_id","matrix_id","system_alias","title","fang_label","zhao_label","independent_agreement","rong_final_label","final_label","final_mismatch_dimension","final_confidence","adjudicator_reason","evidence_locator","material_availability","fang_evidence_locator_status","zhao_evidence_locator_status","final_principal_output","final_external_traceability"
"F092","FMS0619","Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated","Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.5220/0014480400004061","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F093","FMS1136","QLPro","QLPro: Automated Code Vulnerability Discovery via LLM and Static Code Analysis Integration","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.23644","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F094","FMS0698","From Trace to Line","From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.02389","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F095","FMS1135","QLCoder","QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2511.08462","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F096","FMS0533","Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Base","Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Based Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.05772","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F097","FMS0684","From LLMs to Agents","From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2511.08060","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F098","U18","APIOT","APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.02346","full_public_source","located","located","controlled task completion","no external trace reported"
"F099","FMS0538","Diffploit","Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2511.12950","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F100","FMS0541","Directed Symbolic Execution for Vulnerability Discovery","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.21676","full_public_source","located","located","runtime safety signal","benchmark ground truth / public material"
"F101","U09","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.21824","full_public_source","located","located","reproducible validation","author-reported external clue"
"F102","U08","EvoRepair","EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.30105","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F103","FMS0558","DREA","DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.13439","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F104","U10","ContraFix","ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.17450","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F105","U11","MemRepair","MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.17444","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F106","U12","Veritas","Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.15097","full_public_source","located","located","reproducible validation","author-reported external clue"
"F107","U13","FuzzAgent","FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.14431","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F108","U03","OpenAnt","OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.19149","full_public_source","located","located","reproducible validation","author-reported external clue"
"F109","FMS1227","SAVANT","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.17798","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F110","U14","Agentic Fuzzing","Agentic Fuzzing: Opportunities and Challenges","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.10074","full_public_source","located","located","externally traceable material","publicly aligned external trace"
"F111","U02","Revelio","Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.22263","full_public_source","located","located","reproducible validation","no external trace reported"
"F112","U38","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.05721","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F113","U15","Root-Cause-Driven Automated Vulnerability Repair","Root-Cause-Driven Automated Vulnerability Repair","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.04251","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F114","U01","RAVEN","RAVEN: Agentic RAG for Automated Vulnerability Repair","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.22647","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F115","U39","Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera","Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.17762","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F116","FMS0376","CHAINTRIX","CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.09350","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F117","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerabi","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","aligned","overclaim","no","overclaim","overclaim","scope;evidence_type","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2502.18515","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F118","FMS0401","Cochise","Cochise: A Reference Harness for Autonomous Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.11671","full_public_source","located","located","controlled task completion","no external trace reported"
"F119","U16","Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex","Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.03956","full_public_source","located","located","reproducible validation","author-reported external clue"
"F120","U36","FuzzySQL","FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.19490","full_public_source","located","located","reproducible validation","author-reported external clue"
"F121","FMS0347","Bulkhead","Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.12723","full_public_source","located","located","reproducible validation","author-reported external clue"
"F122","U17","FunFuzz","FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.02789","full_public_source","located","located","reproducible validation","author-reported external clue"
"F123","U07","NeuroLog","NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.00669","full_public_source","located","located","reproducible validation","no external trace reported"
"F124","U37","QRS","QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.09774","full_public_source","located","located","externally traceable material","publicly aligned external trace"
"F125","FMS1283","Securing the Dark Matter","Securing the Dark Matter: A Semantic-Enhanced Neuro-Symbolic Framework for Supply Chain Analysis of Opaque Industrial Software","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.07737","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F126","FMS1233","SCGAgent","SCGAgent: Recreating the Benefits of Reasoning Models for Secure Code Generation with Agentic Workflows","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.07313","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F127","U06","DIG","DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.13037","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F128","U34","Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing","Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.08616","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F129","FMS0412","Codexity","Codexity: Secure AI-assisted Code Generation","aligned","overclaim","no","overclaim","overclaim","scope","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2405.03927","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F130","U05","Transferable Self-Evolving Playbooks for Agentic Security Auditing","Transferable Self-Evolving Playbooks for Agentic Security Auditing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.16420","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F131","U35","vEcho","vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.01154","full_public_source","located","located","candidate judgment","author-reported external clue"
"F132","FMS0372","Chai","Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.26933","full_public_source","located","located","reproducible validation","author-reported external clue"
"F133","FMS1299","Security in a Workflow","Security in a Workflow: Exploring Role-Based Agentic Architectures for Vulnerability Handling","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.14261","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F134","U04","Code-Augur","Code-Augur: Agentic Vulnerability Detection via Specification Inference","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.18619","full_public_source","located","located","runtime safety signal","publicly aligned external trace"
"F135","U32","STRIATUM-CTF","STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.22577","full_public_source","located","located","controlled task completion","no external trace reported"
"F136","U33","VulnAgent-R2","VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.13384","full_public_source","located","located","runtime safety signal","benchmark ground truth / public material"
"F137","FMS0488","CVE-Bench","CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2503.17332","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F138","U31","Fuzzing with Agents? Generators Are All You Need","Fuzzing with Agents? Generators Are All You Need","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.01442","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F139","FMS1239","SEC-bench Pro","SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.26548","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F140","FMS0489","CVE-Bench","CVE-Bench: Benchmarking LLM-based Software Engineering Agent’s Ability to Repair Real-World CVE Vulnerabilities","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.18653/v1/2025.naacl-long.212","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F141","FMS1275","Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and","Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and Patching","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/cascon66301.2025.00044","partial_public_source","abstract_only","located","reproducible validation","no external trace reported"
"F142","FMS0961","Mapping the Exploitation Surface","Mapping the Exploitation Surface: A 10,000-Trial Taxonomy of What Makes LLM Agents Exploit Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.04561","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F143","FMS1228","SCAFFOLD-CEGIS","SCAFFOLD-CEGIS: Preventing Latent Security Degradation in LLM-Driven Iterative Code Refinement","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.08520","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F144","FMS0362","Can LLMs Patch Security Issues?","Can LLMs Patch Security Issues?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2312.00024","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F145","FMS0966","MASFuzzer","MASFuzzer: Fuzz Driver Generation and Adaptive Scheduling via Multidimensional API Sequences","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.17977","full_public_source","located","located","runtime safety signal","no external trace reported"
"F146","FMS0479","CryptoFormalEval","CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2411.13627","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F147","FMS0964","MARVEL","MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3832325","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F148","FMS1316","SeedSmith","SeedSmith: LLM-Driven Seed Synthesis for Directed Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.08949","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F149","FMS0206","Antiproof","Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.12316","full_public_source","located","located","candidate judgment","author-reported external clue"
"F150","FMS0969","May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learni","May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learning Framework Fuzzing via LLMs","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.17642","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F151","FMS0435","Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration","Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2502.15506","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F152","FMS0968","Mastermind","Mastermind: Strategy-grounded Learning for Repository-Scale Vulnerability Reproduction","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.01764","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F153","FMS0219","Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Mode","Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Models from Dual-Mode Vulnerability Benchmarks","aligned","overclaim","no","overclaim","overclaim","scope;novelty;external_confirmation","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2605.23243","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F154","FMS0494","CyberChainBench","CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.26216","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F155","FMS0239","ATLANTIS","ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.14589","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F156","C30","OSS-CRS","OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.08566","full_public_source","located","located","reproducible validation","author-reported external clue"
"F157","FMS0945","Locus","Locus: Agentic Predicate Synthesis for Directed Fuzzing","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3744916.3773102","partial_public_source","abstract_only","located","runtime safety signal","benchmark ground truth / public material"
"F158","FMS0935","LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Model","LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.10179","full_public_source","located","located","runtime safety signal","benchmark ground truth / public material"
"F159","FMS1338","Sifting the Noise","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3832100","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F160","C31","GONDAR","Contextualizing Sink Knowledge for Java Vulnerability Discovery","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.01645","full_public_source","located","located","reproducible validation","author-reported external clue"
"F161","FMS0269","AutoPenBench","AutoPenBench: Benchmarking Generative Agents for Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2410.03225","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F162","FMS1492","Towards Effective Offensive Security LLM Agents","Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2508.05674","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F163","FMS1334","ShadowProbe","ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.05474","full_public_source","located","located","candidate judgment","no external trace reported"
"F164","FMS0212","APT-Agent","APT-Agent: Automated Penetration Testing using Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.24949","full_public_source","located","located","controlled task completion","no external trace reported"
"F165","FMS0288","Baselines Before Architecture","Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.13085","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F166","FMS0933","LLMs and Fuzzing in Tandem","LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2507.05272","full_public_source","located","located","candidate judgment","no external trace reported"
"F167","FMS0214","ARACNE","ARACNE: An LLM-Based Autonomous Shell Pentesting Agent","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2502.18528","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F168","FMS0267","AutoPatch","AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2505.04195","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F169","FMS0284","BACFuzz","BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2507.15984","full_public_source","located","located","candidate judgment","author-reported external clue"
"F170","FMS0281","AWE","AWE: Adaptive Agents for Dynamic Web Penetration Testing","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.14722/last-x.2026.23037","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F171","FMS0120","AEGIS","AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.20637","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F172","FMS1473","Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code","Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.21641","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F173","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","indeterminate","overclaim","no","overclaim","overclaim","comparative_claim;generalization","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://doi.org/10.1109/tse.2025.3597319","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F174","FMS0800","Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera","Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.00509","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F175","FMS1573","VIPER-MCP","VIPER-MCP: Detecting and Exploiting Taint-Style Vulnerabilities in Model Context Protocol Servers","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.21392","full_public_source","located","located","reproducible validation","author-reported external clue"
"F176","FMS1571","VEXAIoT","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.09653","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F177","FMS0105","Adaptive Plan-Execute Framework for Smart Contract Security Auditing","Adaptive Plan-Execute Framework for Smart Contract Security Auditing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2505.15242","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F178","FMS0100","ACFIX","ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2403.06838","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F179","FMS0782","How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt","How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2408.10495","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F180","FMS1592","Vulnerability-Triggering Test Case Generation from Third-Party Libraries","Vulnerability-Triggering Test Case Generation from Third-Party Libraries","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2409.16701","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F181","FMS0718","GapForge","GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.15762","full_public_source","located","located","candidate judgment","no external trace reported"
"F182","FMS1613","What You Code Is What We Prove","What You Code Is What We Prove: Translating BLE App Logic into Formal Models with LLMs for Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.09291","full_public_source","located","located","candidate judgment","no external trace reported"
"F183","FMS1095","PoCEvolve","PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.22076","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F184","FMS1096","PoCGen","PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.04962","full_public_source","located","located","reproducible validation","author-reported external clue"
"F185","FMS1618","When Fuzzing Meets Understanding","When Fuzzing Meets Understanding: LLM-Driven Semantic Test Generation for RTL Verification","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.10340","full_public_source","located","located","runtime safety signal","benchmark ground truth / public material"
"F186","FMS0768","Hound","Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.09633","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F187","FMS1607","Well Begun is Half Done","Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3744916.3773218","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F188","FMS1093","PILOT","PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/sp63933.2026.00211","partial_public_source","abstract_only","located","runtime safety signal","author-reported external clue"
