review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
26,C26,CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,2025,preprint,target-software study,https://www.cybergym.io/,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,author-reported external clue,revise,"CyberGym supports agent-generated PoCs that reproduce public vulnerabilities through pre-/post-patch sanitizer checks and also reports zero-days and incomplete patches found during deployment. CVE assignments and maintainer fixes are reported in aggregate, while the public paper withholds item-level alignment for the new findings.",newly_code,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).","CyberGym: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
27,C27,CP114,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,benchmark/system report,governance boundary case,https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,newly_code,governance boundary case,newly_code,governance boundary case,confirm,author-reported external clue,revise,"The public paper supports feedback-guided prompt generation and PoC-style validation of taint-style vulnerabilities in LLM-based agent applications, which is retained as a governance boundary case rather than target-software evidence. Assigned CVEs are reported with masked identifiers, so full public item-level alignment is not established in the reviewed material.",newly_code,"Paper pp. 2–6 (problem and AgentFuzz design), pp. 8–15 (trace-guided fuzzing, evaluation and case studies), pp. 16–20 (disclosure and masked CVE table).","AgentFuzz: observable workflow supports governance boundary case; strongest output is governance boundary case; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: the codebook designates C27 as the governance boundary case; masked CVE identifiers support only an author-reported external clue, not public item-level alignment.",,complete
28,C28,CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,2026,preprint,target-software study,https://arxiv.org/abs/2605.21779,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,"reproduction-, validation-, and repair-centered agent",newly_code,externally traceable material,revise,publicly aligned external trace,revise,"The paper supports OSS-Fuzz-grounded discovery and fuzzer-reproducible PoCs, and maps specific maintainer-fixed findings to public identifiers such as CVE-2026-23874. Claims about the remaining acknowledged or pending findings should not be treated as equally public item-level traces.",newly_code,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).","FuzzingBrain V2: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.",,complete
29,C29,CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,2026,preprint,target-software study,https://arxiv.org/abs/2602.13574,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,benchmark ground truth / public material,confirm,The paper supports execution-state-aware hypothesis refinement and PoV generation that resolves sanitizer crashes for SEC-bench CVE tasks. The demonstrated results reproduce public benchmark vulnerabilities and do not establish independent new external findings.,newly_code,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).","DrillAgent: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
30,C30,CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,2026,preprint,target-software study,https://arxiv.org/abs/2603.08566,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,revise,long-horizon pentest and CRS agent,newly_code,reproducible validation,confirm,author-reported external clue,confirm,"The paper supports a locally deployable CRS framework that runs AIxCC-derived discovery, PoV, patch, and validation techniques on OSS-Fuzz projects and reports ten new bugs. Upstream fixes and confirmations are reported, but the reviewed paper does not publicly align each finding with a specific external issue or advisory.",newly_code,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",OSS-CRS: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,complete
31,C31,CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.01645,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,feedback-driven fuzzing agent,newly_code,reproducible validation,confirm,author-reported external clue,revise,"The paper supports sink-centric candidate filtering, coverage-guided exploration, runtime feedback exchange, and PoC synthesis on real Java benchmarks. A maintainer-confirmed new finding is anonymized, so the public material does not supply item-level external alignment for that result.",newly_code,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).","GONDAR: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because coverage-guided exploration, seed exchange, and runtime feedback organize the system; PoC synthesis is the validation output of that fuzzing loop.",,complete
32,U01,CP213,RAVEN,RAVEN: Agentic RAG for Automated Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2606.22647,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;patch validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",revise,controlled task completion,confirm,benchmark ground truth / public material,confirm,Public materials support agentic patch generation and controlled static/reviewer-based checking against known fixes; they do not establish independently executable vulnerability remediation or externally confirmed new findings.,confirm,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).","RAVEN: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because patch generation and review are the dominant evaluated outputs; retrieval and iteration support repair rather than define a separate long-horizon mission.",,complete
33,U02,CP214,Revelio,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,2026,preprint,target-software study,https://arxiv.org/abs/2606.22263,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,externally traceable material,revise,publicly aligned external trace,revise,"The public paper supports repository-scale hypothesis triage, sanitizer-confirmed PoVs, and specific newly found vulnerabilities mapped to public CVE identifiers and maintainer fixes. The externally traceable claim is limited to the individually listed findings rather than every candidate or aggregate result.",revise,"Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study).","Revelio: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.",,complete
34,U03,CP215,OpenAnt,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing",2026,preprint,target-software study,https://arxiv.org/abs/2606.19149,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,candidate-analysis system,confirm,reproducible validation,revise,no external trace reported,revise,"The paper supports automatically generated test scripts, Docker environments, and execution-based exploit confirmation for evaluated findings, even though the ephemeral artifacts are discarded after validation. It does not provide item-level public external records for the reported previously unknown findings.",revise,"Paper pp. 1–6 (architecture and dynamic verification), pp. 6–10 (evaluation/results), and pp. 13–14 (limitations/conclusion).","OpenAnt: observable workflow supports candidate-analysis system; strongest output is reproducible validation; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: candidate-analysis is primary because repository decomposition, candidate generation, and adversarial filtering organize discovery; specified test scripts and Docker execution meet reproducible validation even though ephemeral artifacts are discarded afterward.",,complete
35,U04,CP216,Code-Augur,Code-Augur: Agentic Vulnerability Detection via Specification Inference,2026,preprint,target-software study,https://arxiv.org/abs/2606.18619,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,feedback-driven fuzzing agent,confirm,reproducible validation,confirm,publicly aligned external trace,confirm,"Public materials support specification-guided runtime falsification and PoV-oriented validation, with at least specific paper findings mapped to public CVE records; they do not expose a complete public reproduction chain for every reported new bug.",confirm,"Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings).",Code-Augur: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
36,U05,CP217,Transferable Self-Evolving Playbooks for Agentic Security Auditing,Transferable Self-Evolving Playbooks for Agentic Security Auditing,2026,preprint,target-software study,https://arxiv.org/abs/2606.16420,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,long-horizon pentest and CRS agent,confirm,externally traceable material,revise,publicly aligned external trace,revise,"The paper supports transferable, self-evolving audit playbooks and maps specific system-produced disclosures to published GHSA/CVE records. The external claim is limited to those listed public mappings; held-out benchmark success alone remains controlled task evidence.",revise,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).",Transferable Self-Evolving Playbooks for Agentic Security Auditing: observable workflow supports long-horizon pentest and CRS agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
37,U06,CP218,DIG,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,2026,preprint,target-software study,https://arxiv.org/abs/2606.13037,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,confirm,feedback-driven fuzzing agent,confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,"Public materials support oracle-guided generation of sanitizer-observed, replayable inputs for known benchmark vulnerabilities; the evidence concerns one-day or ground-truth cases rather than externally confirmed independent discoveries.",confirm,"Paper pp. 1–8 (oracle-guided design), pp. 8–13 (Magma CVE evaluation and new-finding study), and pp. 13–14 (limitations/disclosure).",DIG: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
38,U07,CP219,NeuroLog,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",2026,preprint,target-software study,https://arxiv.org/abs/2606.00669,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,The public workflow supports auditable symbolic witnesses and concrete runtime validation on evaluated programs; it does not establish item-level public external confirmation of new vulnerabilities.,confirm,"Paper pp. 1–7 (neuro-symbolic pipeline), pp. 14–17 (evaluation and CVE rediscovery), and pp. 20–23 (discussion/conclusion).","NeuroLog: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
39,U08,CP220,EvoRepair,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,2026,preprint,target-software study,https://arxiv.org/abs/2605.30105,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;execution observation;patch validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,long-horizon pentest and CRS agent,confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,Public materials support experience-guided repository repair with executable validation on public benchmarks; they do not show item-level public confirmation of newly discovered vulnerabilities.,confirm,"Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer).",EvoRepair: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
40,U09,CP221,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,2026,preprint,target-software study,https://arxiv.org/abs/2605.21824,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;governance / human gates / disclosure control,revise,feedback-driven fuzzing agent,confirm,reproducible validation,confirm,author-reported external clue,confirm,The public artifact supports quality-checked harness construction and reproducible fuzzing evidence for released material; aggregate upstream adoption and vulnerability outcomes do not provide item-level public alignment for the complete reported set.,confirm,"Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary).",Quality-Assured Fuzz Harness Generation via the Four Principles Framework: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because harness generation is governed by a generate-check-fix loop and subsequent fuzzing feedback; Security Boundary Respect and controlled upstream handling are implemented governance mechanisms.,,complete
41,U10,CP222,ContraFix,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.17450,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;execution observation;patch validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,confirm,"reproduction-, validation-, and repair-centered agent",revise,reproducible validation,confirm,benchmark ground truth / public material,confirm,Public materials support runtime-contrastive patch generation with executable acceptance checks on benchmark cases; they do not establish independently disclosed new vulnerabilities.,confirm,"Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion).","ContraFix: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
42,U11,CP223,MemRepair,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.17444,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;execution observation;patch validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,long-horizon pentest and CRS agent,confirm,reproducible validation,confirm,benchmark ground truth / public material,confirm,The study supports memory-guided repair and executable validation on released benchmark or evaluation material; it does not provide item-level external confirmation of new vulnerability discoveries.,confirm,"Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion).",MemRepair: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
43,U12,CP224,Veritas,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,2026,preprint,target-software study,https://arxiv.org/abs/2605.15097,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,author-reported external clue,confirm,Public materials support semantically guided candidate discovery and runtime-backed validation with structured artifacts on evaluated binaries; the reported real-world confirmation is not publicly aligned item by item in the reviewed material.,confirm,"Paper pp. 1–6 (Slicer/Discover/Validator), pp. 6–10 (runtime-oracle evaluation and limitations).","Veritas: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
44,U13,CP225,FuzzAgent,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2605.14431,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update;governance / human gates / disclosure control,revise,feedback-driven fuzzing agent,confirm,runtime safety signal,confirm,author-reported external clue,confirm,"The paper supports agent-directed fuzzing and observed crash or sanitizer signals in its evaluation; withheld source, models, and raw crashes prevent public reproduction and item-level external traceability.",confirm,"Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls).",FuzzAgent: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because successive campaigns evolve from coverage and crash feedback; filesystem/tool isolation and restricted disclosure access are implemented governance controls.,,complete
45,U14,CP226,Agentic Fuzzing,Agentic Fuzzing: Opportunities and Challenges,2026,preprint,target-software study,https://arxiv.org/abs/2605.10074,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,confirm,feedback-driven fuzzing agent,confirm,externally traceable material,confirm,publicly aligned external trace,confirm,Public materials support runtime-validated agentic findings and at least one specific report aligned with a public upstream issue; this does not imply that every aggregate finding has the same public trace.,confirm,"Paper pp. 1–7 (AFuzz pipeline), pp. 7–12 (evaluation, Table 1/issue mappings and discussion).",Agentic Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
46,U15,CP227,Root-Cause-Driven Automated Vulnerability Repair,Root-Cause-Driven Automated Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.04251,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",revise,reproducible validation,confirm,benchmark ground truth / public material,confirm,Public materials support root-cause-driven repair with PoC replay and regression/fuzz validation on evaluated vulnerabilities; they do not establish new externally confirmed vulnerability records.,confirm,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).","Root-Cause-Driven Automated Vulnerability Repair: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because the evaluated endpoint is a root-cause patch checked through replay, regression, and fuzz validation; tracing steps support that repair endpoint.",,complete
47,U16,CP228,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,2026,preprint,target-software study,https://arxiv.org/abs/2605.03956,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,reproducible validation,confirm,author-reported external clue,confirm,The study supports executable PoV-test generation and validation on its targets; submitted PR or CVE requests without maintainer resolution are external clues rather than confirmed public vulnerability traces.,confirm,"Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes).","Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
48,U17,CP229,FunFuzz,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,2026,preprint,target-software study,https://arxiv.org/abs/2605.02789,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,confirm,feedback-driven fuzzing agent,confirm,externally traceable material,confirm,publicly aligned external trace,confirm,The public artifact supports replayable compiler failures and maps specific confirmed findings to upstream issue records and pinned compiler revisions; claims should remain limited to those aligned items.,confirm,"Paper pp. 1–5 (multi-island fuzzing), pp. 5–12 (evaluation and upstream issue classification), and p. 13 (artifact/disclosure).",FunFuzz: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
49,U18,CP230,APIOT,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,2026,preprint,target-software study,https://arxiv.org/abs/2605.02346,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,confirm,long-horizon pentest and CRS agent,confirm,controlled task completion,confirm,no external trace reported,confirm,Public materials support autonomous end-to-end vulnerability-management missions in a controlled virtual or bare-metal lab; they do not establish public external traces for findings against real deployed targets.,confirm,"Paper pp. 1–7 (APIOT mission cycle and controls), pp. 7–16 (290-run evaluation and patch verification), and pp. 16–17 (limitations/tools).",APIOT: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
50,U21,CP233,Symbolic Execution Meets Multi-LLM Orchestration,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,2026,preprint,target-software study,https://arxiv.org/abs/2605.00034,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,confirm,"reproduction-, validation-, and repair-centered agent",confirm,controlled task completion,confirm,benchmark ground truth / public material,confirm,The public replication material supports orchestration-assisted symbolic analysis of incomplete known-CVE snippets; it does not establish concrete replay of all reported paths or independent discovery of new vulnerabilities.,confirm,"Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations).","Symbolic Execution Meets Multi-LLM Orchestration: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
51,U22,CP234,Automation-Exploit,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,2026,preprint,target-software study,https://arxiv.org/abs/2604.22427,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,confirm,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,confirm,long-horizon pentest and CRS agent,confirm,controlled task completion,confirm,no external trace reported,confirm,"The study supports adaptive completion of offensive-security scenarios in air-gapped, risk-mitigated test settings; it does not support claims of publicly disclosed real-world vulnerabilities.",confirm,"Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility).",Automation-Exploit: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,complete
