discovery_id,title,eligibility_exact,shape_exact,evidence_exact,trace_exact,lifecycle_exact,lifecycle_jaccard,capability_exact,capability_jaccard,first_shape,second_shape,first_evidence,second_evidence,first_trace,second_trace,first_lifecycle,second_lifecycle,first_capabilities,second_capabilities,has_any_label_disagreement
FMS0933,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,true,true,false,false,false,0.500000,false,0.750000,candidate-analysis system,candidate-analysis system,controlled task completion,reproducible validation,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,true
FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models,true,true,true,false,false,0.666667,false,0.400000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration,failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,true
FMS0945,Locus: Agentic Predicate Synthesis for Directed Fuzzing,true,true,false,true,false,0.600000,false,0.800000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,reproducible validation,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0964,MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models,true,true,false,true,false,0.750000,false,0.800000,candidate-analysis system,candidate-analysis system,candidate judgment,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reporting and audit,candidate analysis;execution observation;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS0966,MASFuzzer: Fuzz Driver Generation and Adaptive Scheduling via Multidimensional API Sequences,true,true,true,false,false,0.500000,false,0.800000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,benchmark ground truth / public material,author-reported external clue,execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,true
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learning Framework Fuzzing via LLMs,true,true,false,false,false,0.750000,false,0.800000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,externally traceable material,author-reported external clue,publicly aligned external trace,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1017,Multi-Agent Penetration Testing AI for the Web,true,true,false,false,false,0.800000,false,0.857143,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,reproducible validation,controlled task completion,author-reported external clue,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1024,Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM,true,true,true,true,false,0.500000,true,1.000000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;execution observation;patch validation;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,true
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,true,true,true,true,false,0.333333,false,0.500000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,author-reported external clue,author-reported external clue,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1055,"One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts",true,true,false,true,false,0.250000,false,0.250000,candidate-analysis system,candidate-analysis system,candidate judgment,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis,candidate analysis;execution observation;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1063,Orion: Fuzzing Workflow Automation,true,false,true,false,false,0.833333,false,0.833333,long-horizon pentest and CRS agent,feedback-driven fuzzing agent,reproducible validation,reproducible validation,author-reported external clue,no external trace reported,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1083,PenForge: On-the-Fly Expert Agent Construction for Automated Penetration Testing,true,true,true,true,false,0.600000,true,1.000000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1087,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,true,true,true,true,false,0.600000,false,0.800000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1088,PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing,true,true,true,true,false,0.600000,false,0.714286,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1093,"PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting",true,true,false,false,false,0.500000,false,0.800000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,externally traceable material,runtime safety signal,publicly aligned external trace,author-reported external clue,execution observation;path and input exploration;reporting and audit;reproduction and validation,execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,true
FMS1095,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,true,true,true,true,false,0.500000,true,1.000000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,true
FMS1096,PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages,true,true,true,false,false,0.600000,true,1.000000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,publicly aligned external trace,benchmark ground truth / public material,candidate analysis;execution observation;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1098,PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts,true,true,true,true,false,0.600000,true,1.000000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1135,QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities,true,true,true,true,false,0.400000,false,0.800000,candidate-analysis system,candidate-analysis system,reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1136,QLPro: Automated Code Vulnerability Discovery via LLM and Static Code Analysis Integration,true,true,true,false,false,0.666667,false,0.400000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,author-reported external clue,benchmark ground truth / public material,candidate analysis;execution observation;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1149,RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents,true,true,true,false,false,0.600000,false,0.857143,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1161,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,true,true,true,true,false,0.600000,true,1.000000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1227,SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis,true,true,true,true,false,0.333333,false,0.500000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1239,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,true,true,false,true,false,0.500000,false,0.714286,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,reproducible validation,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1261,SecureFixAgent: A Hybrid LLM Agent for Automated Python Static Vulnerability Repair,true,true,false,false,true,1.000000,false,0.600000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,candidate judgment,benchmark ground truth / public material,no external trace reported,candidate analysis;patch validation,candidate analysis;patch validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1275,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and Patching,true,true,true,true,false,0.750000,false,0.800000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,no external trace reported,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;patch validation;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1279,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move,true,true,false,true,true,1.000000,false,0.666667,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;patch validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1338,Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering,true,true,true,true,false,0.500000,false,0.400000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1492,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",true,true,true,true,false,0.600000,false,0.666667,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1509,Trace: Securing Smart Contract Repository Against Access Control Vulnerability,true,true,true,true,true,1.000000,false,0.400000,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,true,true,true,true,false,0.600000,false,0.833333,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1561,VCAO: Verifier-Centered Agentic Orchestration for Strategic OS Vulnerability Discovery,true,true,false,false,false,0.833333,false,0.857143,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,runtime safety signal,reproducible validation,author-reported external clue,benchmark ground truth / public material,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1586,VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework,true,true,true,true,false,0.600000,true,1.000000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1607,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,true,true,true,true,false,0.600000,false,0.800000,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;patch validation;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,true
FMS1613,What You Code Is What We Prove: Translating BLE App Logic into Formal Models with LLMs for Vulnerability Detection,true,true,false,false,false,0.750000,false,0.600000,candidate-analysis system,candidate-analysis system,candidate judgment,reproducible validation,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;reporting and audit,candidate analysis;execution observation;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1618,When Fuzzing Meets Understanding: LLM-Driven Semantic Test Generation for RTL Verification,true,true,true,true,false,0.666667,false,0.800000,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,true
FMS1635,xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models,true,true,true,true,false,0.600000,true,1.000000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1639,ZERO-APT: A Closed-Loop Adversarial Framework for LLM-Driven Automated Penetration Testing under Intelligent Defense,true,true,true,true,false,0.600000,true,1.000000,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
FMS1640,ZeroDayBench: Evaluating LLM Agents on Unseen Zero-Day Vulnerabilities for Cyberdefense,true,false,false,true,false,0.400000,true,1.000000,"reproduction-, validation-, and repair-centered agent",long-horizon pentest and CRS agent,reproducible validation,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,true
