matrix_id,record_id,system,citation_key,primary_shape,evaluation_setting,agent_mechanism,model_version_status,evaluation_scale_status,quantitative_result_status,quantitative_endpoint_type,quantitative_endpoint_audit_status,reported_result,baseline_status,validation_material_status,validation_material,runtime_status,cost_status,ablation_status,failure_reporting_status,source_location,extraction_note
U12,CP224,Veritas,update2026u12,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance,source_verified_2026-07-29,Veritas reports 90% recall and no false positives among 623 exhaustively validated binary-analysis audits.,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,not located,reported,Paper p. 1 (Abstract); evaluation on pp. 6–10.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U13,CP225,FuzzAgent,update2026u13,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; applies permission or human gates.,reported,reported,reported,result_yield,source_verified_2026-07-29,"FuzzAgent reports 102 genuine library bugs, 78 of which had been acknowledged and fixed upstream at the reported cutoff.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,reported,Paper p. 1 (Abstract); evaluation on pp. 8–14.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U14,CP226,Agentic Fuzzing,update2026u14,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; reuses failed attempts to update strategy; applies permission or human gates.,reported,reported,reported,result_yield,source_verified_2026-07-29,"AFuzz reports 40 Chromium-family bugs, including three duplicates; 28 were fixed, two confirmed, and four received CVE identifiers at the reported cutoff.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,not located,"Paper p. 9, Sec. 5.3 and Table 1.","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U15,CP227,Root-Cause-Driven Automated Vulnerability Repair,update2026u15,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,not located,reported,reported,mixed_or_other_result,existing_source_location_retained,"On a 178-bug benchmark, expert assessment preferred Kumushi on 68 of the 144 cases where both compared tools produced a plausible patch.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,not located,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).; paper p. 2; paper p. 7; paper p. 5",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U16,CP228,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,update2026u16,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,PoVSmith generates tests for 152 tasks; 141 compile and 84 trigger the target vulnerability.,reported,reported,Study-specific validation material reported; see the source location.,not located,not located,reported,not located,"Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes).; paper p. 1; paper p. 2; paper p. 8",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U17,CP229,FunFuzz,update2026u17,feedback-driven fuzzing agent,Compiler testing,routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,result_yield,source_verified_2026-07-29,"FunFuzz reports 119 unique compiler bugs, of which 80 were confirmed by developers.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,Paper p. 2 (Abstract continuation); evaluation on pp. 5–12.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U18,CP230,APIOT,update2026u18,long-horizon pentest and CRS agent,Binary or firmware analysis,routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; applies permission or human gates.,reported,reported,reported,performance,source_verified_2026-07-29,APIOT reports a 90.0% mission success rate for the full discover–exploit–patch–verify cycle across its evaluated matrix conditions.,not located,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,Paper p. 1 (Abstract); evaluation on pp. 7–16.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U21,CP233,Symbolic Execution Meets Multi-LLM Orchestration,update2026u21,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; organizes validation material.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"On 31 Rust CVEs spanning 11 CWE categories, the system reports 90.3% wrapper-compilation success and detects 1,206 critical errors across 26 files.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,not located,reported,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U22,CP234,Automation-Exploit,update2026u22,long-horizon pentest and CRS agent,Long-horizon security task environment,routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; applies permission or human gates.,reported,reported,reported,result_yield,source_verified_2026-07-29,"In the scenario evaluation, the digital-twin layer intercepts 14 critical denial-of-service conditions across Scenarios G and H.",not located,reported,Study-specific validation material reported; see the source location.,reported,not located,not located,reported,"Paper p. 10, Sec. 4.4; scenario evaluation in Sec. 6.","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U23,CP235,Towards Optimal Agentic Architectures for Offensive Security Tasks,update2026u23,long-horizon pentest and CRS agent,Long-horizon security task environment,routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,6 Core Benchmark Results This section reports the completed 600-run core benchmark over all 20 targets.,not located,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,not located,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).; paper p. 3; paper p. 1; paper p. 6; paper p. 16",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U25,CP237,V2E,update2026u25,"reproduction-, validation-, and repair-centered agent",Smart-contract analysis or execution,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; reuses failed attempts to update strategy.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"On 264 labeled contracts, V2E identifies 102 of 124 exploitable vulnerabilities (91.9% precision, 82.3% recall) and eliminates 71 of 140 false alarms.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,not located,not located,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U26,CP238,COBALT-TLA,update2026u26,candidate-analysis system,OSS or CRS-style task environment,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance,source_verified_2026-07-29,"Across three cross-chain bridge models, COBALT-TLA reaches a verified BUG_FOUND state within at most two iterations; TLC execution remains below 0.30 seconds.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,not located,not located,Paper p. 1 (Abstract); target traces in Table I and p. 3.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U27,CP239,Argus,update2026u27,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"Argus reports 6 vulnerabilities in PublicCMS, 3 in JeecgBoot, and findings in each of the 4 evaluated repositories.",reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,"Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation).; paper p. 11; paper p. 6; paper p. 3; paper p. 2; paper p. 10; paper p. 7",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U28,CP240,PoC-Adapt,update2026u28,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"PoC-Adapt reports 12 verified PoCs from 80 reproduction attempts, at a reported cost of $0.42 per generated exploit.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,reported,Paper p. 1 (Abstract); evaluation on pp. 10–15.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U29,CP241,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,update2026u29,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Sailor evaluates ten C/C++ projects totaling 6.8M lines of code and reports 379 vulnerabilities confirmed by 421 concrete crashes.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,not located,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).; paper p. 1; paper p. 2; paper p. 6; paper p. 8; paper p. 9",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U31,CP243,Fuzzing with Agents? Generators Are All You Need,update2026u31,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; interprets feedback and adjusts the next action.,reported,reported,reported,performance,source_verified_2026-07-29,"Across seven Java benchmarks, at least one Gentoo configuration exceeds human-generator branch coverage on six benchmarks, with statistically significant gains on four.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,reported,"Paper p. 6, Sec. 4.2 and Fig. 5.","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U32,CP244,STRIATUM-CTF,update2026u32,long-horizon pentest and CRS agent,Protocol or network-service analysis,routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,performance,source_verified_2026-07-29,"In the live CTF evaluation, the baseline-context STRIATUM-CTF configuration reports an 86.7% success rate.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,not located,reported,"Paper p. 4, Sec. IV and Fig. 3.","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U33,CP245,VulnAgent-R2,update2026u33,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance,source_verified_2026-07-29,Dynamic verification triggers the vulnerability-presence signal for 21.6% of evaluated samples; 35.7% of triggered cases produce positive executable evidence.,reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,reported,"Paper p. 6, Sec. 4.5 and Table 9.","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U34,CP246,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,update2026u34,feedback-driven fuzzing agent,Java library analysis,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Reports 12-hour campaigns and three production bugs,reported,reported,"Generated harnesses, coverage feedback, and runtime bug signals",reported,reported,not located,not located,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).; paper p. 5; Evaluation/results section; campaign duration and production-bug result; paper p. 1; paper p. 6",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U35,CP247,vEcho,update2026u35,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"vEcho reports a 65% detection rate, a 41.8% relative improvement over the 45.83% IRIS baseline, and 51 reported novel findings.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,reported,not located,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U36,CP248,FuzzySQL,update2026u36,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,result_yield,source_verified_2026-07-29,"Across five DBMS families, FuzzySQL reports 64 vulnerabilities; 60 were confirmed, nine received CVE identifiers, and 31 were fixed at the reported cutoff.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U37,CP249,QRS,update2026u37,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"QRS detects 19 of 20 historical CVEs, with 90.62% accuracy, 86.96% precision, and 100.00% recall.",reported,reported,Candidate-to-PoC evidence and public external-process traces,reported,reported,not located,not located,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.; paper p. 20; Evaluation/results and disclosure discussion; disclosed finding alignment; paper p. 17; paper p. 34",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U38,CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,update2026u38,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"Evaluation on two benchmarks covering 617 real-world vulnerabilities demonstrates that Cve2PoC achieves 82.9% and 54.3% reproduction success rates on SecBench.js and PatchEval, respectively, outperforming the best baseline by 11.3% and 20.4%.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,reported,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).; paper p. 11; paper p. 1; paper p. 2; paper p. 17; paper p. 13",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U39,CP251,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,update2026u39,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"On 114 function-level recurring-vulnerability migrations, MAVM detects and repairs 51 cases and reports 31.9%–45.2% higher repair accuracy than the baselines.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,not located,not located,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U40,CP252,VulnResolver,update2026u40,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,VulnResolver resolves 75.0% of SEC-bench Lite issues and 67.5% of SEC-bench Full issues.,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).; paper p. 8; paper p. 1; paper p. 2; paper p. 3; paper p. 7",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U41,CP253,Multi-Agent Taint Specification Extraction for Vulnerability Detection,update2026u41,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,SemTaint identifies 106 of 162 vulnerabilities previously missed by CodeQL (65.43% recall) and reports four novel vulnerabilities.,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,Paper p. 1 (Abstract); evaluation on pp. 10–14.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
