matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,system_shape,agentic_capabilities,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url
U12,CP224,CS_CP224,Veritas,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,The evidence supports runtime-grounded validation of binary vulnerability claims and reproducible benchmark cases; the Apple CVE claim is reported without an item-level public record aligned in the reviewed material.,The evidence supports runtime-grounded validation of binary vulnerability claims and reproducible benchmark cases; the Apple CVE claim is reported without an item-level public record aligned in the reviewed material.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.15097
U13,CP225,CS_CP225,FuzzAgent,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reporting and audit,feedback-driven fuzzing agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,runtime safety signal,author-reported external clue,The paper supports tool-grounded fuzzing and manually triaged runtime bug signals; it does not provide public replay material or independently checkable item-level external records for the reported bugs.,The paper supports tool-grounded fuzzing and manually triaged runtime bug signals; it does not provide public replay material or independently checkable item-level external records for the reported bugs.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.14431
U14,CP226,CS_CP226,Agentic Fuzzing,Agentic Fuzzing: Opportunities and Challenges,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,feedback-driven fuzzing agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update;governance / human gates / disclosure control,externally traceable material,publicly aligned external trace,The public evidence supports reproducible clean-build verification and item-level issue-tracker alignment for disclosed AFuzz findings; it should not be generalized to undisclosed or duplicate cases without their records.,The public evidence supports reproducible clean-build verification and item-level issue-tracker alignment for disclosed AFuzz findings; it should not be generalized to undisclosed or duplicate cases without their records.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.10074
U15,CP227,CS_CP227,Root-Cause-Driven Automated Vulnerability Repair,Root-Cause-Driven Automated Vulnerability Repair,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;patch validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,benchmark ground truth / public material,"The reviewed material supports multi-oracle, failing-before/passing-after validation of benchmark repairs; even these oracles do not prove root-cause correctness, which the paper separately audits with humans.","The reviewed material supports multi-oracle, failing-before/passing-after validation of benchmark repairs; even these oracles do not prove root-cause correctness, which the paper separately audits with humans.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.04251
U16,CP228,CS_CP228,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,benchmark ground truth / public material,The evidence supports executable PoV-test generation for demonstrating dependency vulnerabilities in downstream applications; six PR and CVE requests had no reported response and therefore do not establish confirmed new vulnerabilities.,The evidence supports executable PoV-test generation for demonstrating dependency vulnerabilities in downstream applications; six PR and CVE requests had no reported response and therefore do not establish confirmed new vulnerabilities.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.03956
U17,CP229,CS_CP229,FunFuzz,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,target_software_study,submission_update_20260715,path and input exploration;execution observation;reproduction and validation;reporting and audit,feedback-driven fuzzing agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,externally traceable material,publicly aligned external trace,The public artifact supports reproducible compiler-fuzzing campaigns and item-level upstream traceability for disclosed failures; aggregate confirmation counts include cases whose details may remain coordinated or withheld.,The public artifact supports reproducible compiler-fuzzing campaigns and item-level upstream traceability for disclosed failures; aggregate confirmation counts include cases whose details may remain coordinated or withheld.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.02789
U18,CP230,CS_CP230,APIOT,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,long-horizon pentest and CRS agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,controlled task completion,benchmark ground truth / public material,"The evidence supports autonomous completion of controlled OT-lab missions across discovery, exploitation, patching, and verification; it does not support claims of independently discovered or externally confirmed production vulnerabilities.","The evidence supports autonomous completion of controlled OT-lab missions across discovery, exploitation, patching, and verification; it does not support claims of independently discovered or externally confirmed production vulnerabilities.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.02346
U21,CP233,CS_CP233,Symbolic Execution Meets Multi-LLM Orchestration,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,reproducible validation,benchmark ground truth / public material,The evidence supports successful wrapper construction and KLEE error detection on known CVE snippets in a controlled benchmark; symbolic errors are not by themselves concrete runtime reproduction or new vulnerability confirmation.,The evidence supports successful wrapper construction and KLEE error detection on known CVE snippets in a controlled benchmark; symbolic errors are not by themselves concrete runtime reproduction or new vulnerability confirmation.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.00034
U22,CP234,CS_CP234,Automation-Exploit,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,long-horizon pentest and CRS agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;governance / human gates / disclosure control,controlled task completion,not reported,"The public paper supports risk-mitigated compromise of eight controlled air-gapped scenarios with digital-twin checking; it does not establish public target versions, replay artifacts, or external vulnerability records.","The public paper supports risk-mitigated compromise of eight controlled air-gapped scenarios with digital-twin checking; it does not establish public target versions, replay artifacts, or external vulnerability records.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.22427
U23,CP235,CS_CP235,Towards Optimal Agentic Architectures for Offensive Security Tasks,Towards Optimal Agentic Architectures for Offensive Security Tasks,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,long-horizon pentest and CRS agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,controlled task completion,benchmark ground truth / public material,The evidence supports architecture-level comparison on controlled whitebox and blackbox offensive-security tasks with verifier-scored completion; it does not support real-world independent vulnerability discovery claims.,The evidence supports architecture-level comparison on controlled whitebox and blackbox offensive-security tasks with verifier-scored completion; it does not support real-world independent vulnerability discovery claims.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.18718
U25,CP237,CS_CP237,V2E,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,The public evidence supports execution-based exploitability validation on labeled and on-chain smart-contract datasets; it does not claim discovery independent of the upstream detector and does not externally trace every result.,The public evidence supports execution-based exploitability validation on labeled and on-chain smart-contract datasets; it does not claim discovery independent of the upstream detector and does not externally trace every result.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.13611
U26,CP238,CS_CP238,COBALT-TLA,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,target_software_study,submission_update_20260715,candidate analysis;execution observation,candidate-analysis system,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,benchmark ground truth / public material,"The evidence supports convergence to reproducible model-checker counterexamples in three bounded bridge models, including a model of a known exploit; it does not establish concrete implementation-level vulnerability reproduction or a new externally confirmed flaw.","The evidence supports convergence to reproducible model-checker counterexamples in three bounded bridge models, including a model of a known exploit; it does not establish concrete implementation-level vulnerability reproduction or a new externally confirmed flaw.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.12172
U27,CP239,CS_CP239,Argus,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,target_software_study,submission_update_20260715,candidate analysis;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,candidate judgment,author-reported external clue,The public material supports richer static candidate detection and report generation; aggregate CVE-assignment claims do not lift the output beyond candidate judgment without public per-output execution and version alignment.,The public material supports richer static candidate detection and report generation; aggregate CVE-assignment claims do not lift the output beyond candidate judgment without public per-output execution and version alignment.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.06633
U28,CP240,CS_CP240,PoC-Adapt,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,"The evidence supports benchmark-scoped reproduction of already disclosed, patched vulnerabilities using semantic state-difference validation; it does not support new vulnerability discovery or item-level external confirmation beyond benchmark/advisory ground truth.","The evidence supports benchmark-scoped reproduction of already disclosed, patched vulnerabilities using semantic state-difference validation; it does not support new vulnerability discovery or item-level external confirmation beyond benchmark/advisory ground truth.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.06618
U29,CP241,CS_CP241,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate-analysis system,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,The material supports concrete-replay validation of symbolic-execution findings produced with LLM-synthesized harnesses; the large count of previously unknown vulnerabilities and crashes is not item-level externally traceable in the reviewed public evidence.,The material supports concrete-replay validation of symbolic-execution findings produced with LLM-synthesized harnesses; the large count of previously unknown vulnerabilities and crashes is not item-level externally traceable in the reviewed public evidence.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.06506
U31,CP243,CS_CP243,Fuzzing with Agents? Generators Are All You Need,Fuzzing with Agents? Generators Are All You Need,target_software_study,submission_update_20260715,path and input exploration;execution observation,feedback-driven fuzzing agent,context aggregation / rule extraction;feedback interpretation / loop adjustment,controlled task completion,benchmark ground truth / public material,"The public evidence supports coverage-oriented generator synthesis on seven Java-library benchmarks; coverage gains alone do not establish a runtime safety condition, reproducible vulnerability, or external finding.","The public evidence supports coverage-oriented generator synthesis on seven Java-library benchmarks; coverage gains alone do not establish a runtime safety condition, reproducible vulnerability, or external finding.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2604.01442
U32,CP244,CS_CP244,STRIATUM-CTF,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,long-horizon pentest and CRS agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,controlled task completion,benchmark ground truth / public material,The evidence supports autonomous success in a bounded live CTF competition; a CTF flag or placement is controlled task completion and not an externally confirmed vulnerability in production software.,The evidence supports autonomous success in a bounded live CTF competition; a CTF flag or placement is controlled task completion and not an externally confirmed vulnerability in production software.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2603.22577
U33,CP245,CS_CP245,VulnAgent-R2,VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection,target_software_study,submission_update_20260715,candidate analysis;execution observation;reproduction and validation;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,benchmark ground truth / public material,"The material supports calibrated candidate reports and positive executable signals when harness target, runtime oracle, and source span agree; it does not provide replay material sufficient to treat all positives as reproducibly validated vulnerabilities.","The material supports calibrated candidate reports and positive executable signals when harness target, runtime oracle, and source span agree; it does not provide replay material sufficient to treat all positives as reproducibly validated vulnerabilities.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2603.13384
U34,CP246,CS_CP246,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,target_software_study,submission_update_20260715,path and input exploration;execution observation,feedback-driven fuzzing agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment,runtime safety signal,author-reported external clue,"The evidence supports generated harnesses, coverage feedback, and runtime bug signals from 12-hour campaigns; the three claimed production bugs lack public item-level replay and maintainer alignment in the reviewed material.","The evidence supports generated harnesses, coverage feedback, and runtime bug signals from 12-hour campaigns; the three claimed production bugs lack public item-level replay and maintainer alignment in the reviewed material.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2603.08616
U35,CP247,CS_CP247,vEcho,vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models,target_software_study,submission_update_20260715,candidate analysis;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,candidate judgment,author-reported external clue,"The public material supports memory-guided propagation of static audit hypotheses and candidate reports; aggregate claims of 51 zero-days and Apache confirmation are not item-level aligned with public outputs, versions, and reproduction evidence.","The public material supports memory-guided propagation of static audit hypotheses and candidate reports; aggregate claims of 51 zero-days and Apache confirmation are not item-level aligned with public outputs, versions, and reproduction evidence.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2603.01154
U36,CP248,CS_CP248,FuzzySQL,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,target_software_study,submission_update_20260715,path and input exploration;execution observation;reproduction and validation,feedback-driven fuzzing agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,reproducible validation,author-reported external clue,"The evidence supports replay-validated and minimized DBMS crash PoCs; aggregate vendor confirmation, fixes, and CVE counts do not establish public per-output alignment for the claimed 64 vulnerabilities.","The evidence supports replay-validated and minimized DBMS crash PoCs; aggregate vendor confirmation, fixes, and CVE counts do not establish public per-output alignment for the claimed 64 vulnerabilities.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2602.19490
U37,CP249,CS_CP249,QRS,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;reproduction and validation;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,externally traceable material,publicly aligned external trace,The public material supports candidate-to-PoC evidence and item-level CVE or maintainer-patch alignment for at least the five disclosed findings; expert-reviewed aggregate findings without such traces remain weaker.,The public material supports candidate-to-PoC evidence and item-level CVE or maintainer-patch alignment for at least the five disclosed findings; expert-reviewed aggregate findings without such traces remain weaker.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2602.09774
U38,CP250,CS_CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,The evidence supports benchmark-scoped generation of executable PoCs that trigger vulnerable versions and fail on patched versions; it does not establish new vulnerability discovery or external confirmation beyond benchmark ground truth.,The evidence supports benchmark-scoped generation of executable PoCs that trigger vulnerable versions and fail on patched versions; it does not establish new vulnerability discovery or external confirmation beyond benchmark ground truth.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2602.05721
U39,CP251,CS_CP251,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,target_software_study,submission_update_20260715,candidate analysis;patch validation;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,controlled task completion,benchmark ground truth / public material,"The material supports end-to-end benchmark management of recurring-vulnerability candidates and generated repairs, but validation reuses static detectors and LLM judgment rather than executable security or regression oracles.","The material supports end-to-end benchmark management of recurring-vulnerability candidates and generated repairs, but validation reuses static detectors and LLM judgment rather than executable security or regression oracles.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2601.17762
U40,CP252,CS_CP252,VulnResolver,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,target_software_study,submission_update_20260715,candidate analysis;execution observation;reproduction and validation;patch validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,benchmark ground truth / public material,The evidence supports PoC-guided safety-property validation and benchmark-scoped vulnerability issue repair on SEC-bench; it does not establish external maintainer acceptance or production deployment of generated patches.,The evidence supports PoC-guided safety-property validation and benchmark-scoped vulnerability issue repair on SEC-bench; it does not establish external maintainer acceptance or production deployment of generated patches.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2601.13933
U41,CP253,CS_CP253,Multi-Agent Taint Specification Extraction for Vulnerability Detection,Multi-Agent Taint Specification Extraction for Vulnerability Detection,target_software_study,submission_update_20260715,candidate analysis;reporting and audit,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,candidate judgment,author-reported external clue,"The evidence supports LLM-generated taint specifications that let CodeQL surface previously missed candidate paths; four novel vulnerabilities were manually PoC-confirmed and reported, but no public item-level external alignment was established here.","The evidence supports LLM-generated taint specifications that let CodeQL surface previously missed candidate paths; four novel vulnerabilities were manually PoC-confirmed and reported, but no public item-level external alignment was established here.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2601.10865
