matrix_id,system,title,target_domain,primary_system_shape,principal_reported_evidence_output,publication_year,source_location,extraction_basis,extraction_scope
U38,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U39,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",controlled task completion,2026,"Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U40,VulnResolver,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U41,Multi-Agent Taint Specification Extraction for Vulnerability Detection,Multi-Agent Taint Specification Extraction for Vulnerability Detection,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Paper pp. 1–10 (SemTaint architecture), pp. 10–14 (evaluation and unknown-vulnerability/disclosure boundary).",Matched the existing source-located target-domain audit: JavaScript taint-analysis specification extraction,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0100,ACFIX,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0120,AEGIS,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0134,Agent That Debugs,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,Agentic Vulnerability Reasoning on COTS Binaries,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0206,Antiproof,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",candidate judgment,2026,"Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0212,APT-Agent,APT-Agent: Automated Penetration Testing using Large Language Models,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0214,ARACNE,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2502.18528",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Mode,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Models from Dual-Mode Vulnerability Benchmarks,"web application, API, or database",long-horizon pentest and CRS agent,candidate judgment,2026,"Public full text, extracted pages 1, 3, 4; https://arxiv.org/abs/2605.23243",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0226,Artificial Intelligence as the New Hacker,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2024,"Public full text, extracted pages 4; https://arxiv.org/abs/2406.07561",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0239,ATLANTIS,"ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System","web application, API, or database",long-horizon pentest and CRS agent,reproducible validation,2025,"Public full text, extracted pages 3, 4, 8, 20, 97; https://arxiv.org/abs/2509.14589",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,Automated Penetration Testing with LLM Agents and Classical Planning,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 4, 10; https://arxiv.org/abs/2512.11143",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0257,Automated Vulnerability Validation and Verification,Automated Vulnerability Validation and Verification: A Large Language Model Approach,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 2, 3; https://arxiv.org/abs/2509.24037",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching","Automatic, Expressive, and Scalable Fuzzing with Stitching","native binary, compiler, or operating system",feedback-driven fuzzing agent,externally traceable material,2026,"Public full text, extracted pages 1, 2, 7, 16; https://arxiv.org/abs/2602.18689",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0267,AutoPatch,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",candidate judgment,2025,"Public full text, extracted pages 1, 10; https://arxiv.org/abs/2505.04195",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0269,AutoPenBench,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2024,"Public full text, extracted pages 1; https://arxiv.org/abs/2410.03225",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0270,AutoPentest,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2505.10321",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0271,AutoPentester,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2510.05605",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0272,AutoPT,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2024,"Public full text, extracted pages 1, 2, 7; https://arxiv.org/abs/2411.01236",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0281,AWE,AWE: Adaptive Agents for Dynamic Web Penetration Testing,"web application, API, or database",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 2, 7; https://doi.org/10.14722/last-x.2026.23037",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0284,BACFuzz,BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications,"web application, API, or database",feedback-driven fuzzing agent,candidate judgment,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2507.15984",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0288,Baselines Before Architecture,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2607.13085",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for ,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 3, 8; https://arxiv.org/abs/2503.03586",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0347,Bulkhead,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2, 7, 13, 14, 15; https://arxiv.org/abs/2607.12723",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0362,Can LLMs Patch Security Issues?,Can LLMs Patch Security Issues?,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2023,"Public full text, extracted pages 6; https://arxiv.org/abs/2312.00024",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0372,Chai,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,protocol and networked service,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 4, 6, 16, 17; https://arxiv.org/abs/2606.26933",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0376,CHAINTRIX,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,smart contract and blockchain,candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2605.09350",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0389,CKG-LLM,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,smart contract and blockchain,candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 2, 5; https://arxiv.org/abs/2512.06846",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0401,Cochise,Cochise: A Reference Harness for Autonomous Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2605.11671",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0412,Codexity,Codexity: Secure AI-assisted Code Generation,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 1, 2; https://arxiv.org/abs/2405.03927",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration ,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 5; https://arxiv.org/abs/2502.15506",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0443,ContractTinker,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",controlled task completion,2024,"Public full text, extracted pages 1, 2, 4; https://doi.org/10.1145/3691620.3695349",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0479,CryptoFormalEval,CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection,protocol and networked service,"reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 1; https://arxiv.org/abs/2411.13627",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0488,CVE-Bench,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,"web application, API, or database",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 2, 5, 6; https://arxiv.org/abs/2503.17332",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0489,CVE-Bench,CVE-Bench: Benchmarking LLM-based Software Engineering Agent’s Ability to Repair Real-World CVE Vulnerabilities,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 2, 3; https://doi.org/10.18653/v1/2025.naacl-long.212",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0494,CyberChainBench,CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?,smart contract and blockchain,long-horizon pentest and CRS agent,reproducible validation,2026,"Public full text, extracted pages 2, 5, 6, 7, 9; https://arxiv.org/abs/2606.26216",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0500,D-CIPHER,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 12, 13; https://arxiv.org/abs/2502.10931",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0509,Decoupling Reconnaissance and Exploitation,Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 4, 5; https://arxiv.org/abs/2606.25332",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0533,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Base,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Based Agents,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages ; https://arxiv.org/abs/2607.05772",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0538,Diffploit,Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 11, 12; https://arxiv.org/abs/2511.12950",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0541,Directed Symbolic Execution for Vulnerability Discovery,Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE,smart contract and blockchain,feedback-driven fuzzing agent,runtime safety signal,2026,"Public full text, extracted pages 1, 2, 5, 10, 11; https://arxiv.org/abs/2607.21676",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0558,DREA,DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 10; https://arxiv.org/abs/2607.13439",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1; https://arxiv.org/abs/2603.24221",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated ,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 4, 5; https://doi.org/10.5220/0014480400004061",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0648,FalseCrashReducer,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",runtime safety signal,2025,"Public full text, extracted pages 2, 10, 12; https://arxiv.org/abs/2510.02185",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0650,FaultLine,FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 4, 10; https://arxiv.org/abs/2507.15241",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0651,Favia,Favia: Forensic Agent for Vulnerability-fix Identification and Analysis,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 6, 13; https://arxiv.org/abs/2602.12500",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,Fixing Security Vulnerabilities with AI in OSS-Fuzz,"web application, API, or database","reproduction-, validation-, and repair-centered agent",runtime safety signal,2024,"Public full text, extracted pages 1, 2, 3, 6; https://arxiv.org/abs/2411.03346",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0676,From Capabilities to Performance,From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1, 20; https://doi.org/10.18653/v1/2025.emnlp-main.802",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0677,From Controlled to the Wild,From Controlled to the Wild: Evaluation of Pentesting Agents for the Real-World,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 7; https://arxiv.org/abs/2605.10834",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0684,From LLMs to Agents,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 3; https://arxiv.org/abs/2511.08060",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0698,From Trace to Line,From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization,"repository, package, or source code",candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 1, 2, 3; https://arxiv.org/abs/2510.02389",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0718,GapForge,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,"native binary, compiler, or operating system",feedback-driven fuzzing agent,candidate judgment,2026,"Public full text, extracted pages 1, 2, 11; https://arxiv.org/abs/2607.15762",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0733,GoAT-X,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,smart contract and blockchain,candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 1, 13; https://arxiv.org/abs/2604.24341",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0734,GPTScan,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,smart contract and blockchain,candidate-analysis system,candidate judgment,2023,"Public full text, extracted pages 1, 2, 6; https://doi.org/10.1145/3597503.3639117",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2509.07939",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0742,Guiding AI to Fix Its Own Flaws,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1; https://arxiv.org/abs/2506.23034",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0747,HackSynth,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2024,"Public full text, extracted pages 1; https://arxiv.org/abs/2412.01778",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
FMS0752,HarnessAgent,HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines,"repository, package, or source code",feedback-driven fuzzing agent,controlled task completion,2025,"Public full text, extracted pages 1, 3; https://arxiv.org/abs/2512.03420",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
