matrix_id,system,principal_reported_evidence_output,public_implementation_located,environment_or_build_instructions,trigger_replay_poc_pov_artifact,execution_trace_or_log,patch_artifact,source_location,evidence_note,audit_scope
FMS0401,Cochise,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2605.11671,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0412,Codexity,reproducible validation,located,not located,not located,not located,not located,"Reviewed full text, p. 3",https://huggingface.co/TheBloke/starcoder-GPTQ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration ,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2502.15506,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0443,ContractTinker,controlled task completion,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0479,CryptoFormalEval,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections 2.3-4, middleware loop, Tamarin feedback filtering, attack-trace translation, symbolic validator, and benchmark evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0488,CVE-Bench,controlled task completion,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0489,CVE-Bench,reproducible validation,not located,not located,not located,not located,not located,public full text; https://aclanthology.org/2025.naacl-long.212.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0494,CyberChainBench,reproducible validation,located,not located,located,located,not located,"Reviewed full text, p. 1",https://github.com/defai-labs/CyberChainBench.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0500,D-CIPHER,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2502.10931,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0509,Decoupling Reconnaissance and Exploitation,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2606.25332,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0533,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Base,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 3",https://github.com/KeLeXueBi/VIC-RAGRENT.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0538,Diffploit,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2511.12950,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0541,Directed Symbolic Execution for Vulnerability Discovery,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2607.21676,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0558,DREA,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 7",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2603.24221,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated ,reproducible validation,not located,not located,not located,not located,not located,public full text; https://www.scitepress.org/Papers/2026/144804/144804.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0648,FalseCrashReducer,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.02185,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0650,FaultLine,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2507.15241,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0651,Favia,candidate judgment,not located,not located,not located,not located,not located,"Public full text: Section 4, especially Sections 4.1-4.2.2; Sections 5-6 and CVEVC evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,runtime safety signal,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0676,From Capabilities to Performance,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.14289,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0677,From Controlled to the Wild,controlled task completion,not located,not located,not located,not located,not located,"Public full text: Sections 1-4, target-selection protocol, finding-to-ground-truth pipeline, trajectory execution, and evaluation procedure.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0684,From LLMs to Agents,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2511.08060,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0698,From Trace to Line,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.02389,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0718,GapForge,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 11",https://github.com/githubnext/testpilot,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0733,GoAT-X,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2604.24341,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0734,GPTScan,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2308.03314,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.07939,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0742,Guiding AI to Fix Its Own Flaws,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0747,HackSynth,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2412.01778,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0752,HarnessAgent,controlled task completion,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2411.18143,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0768,Hound,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.09633,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Pyt,reproducible validation,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Genera,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,controlled task completion,not located,not located,not located,not located,not located,public full text; https://spectrum.library.concordia.ca/id/eprint/996544/1/Dai_MA_F2025.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0850,Large Language Model assisted Hybrid Fuzzing,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2412.15931,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0885,Let the Trial Begin,candidate judgment,not located,not located,not located,not located,not located,"Public full text: Sections 2-4, Fig. 1, role-specific debate sequence, review-board decision, and PrimeVul evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0890,LibLMFuzz,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2507.15058,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0904,LLM Agents for Automated Web Vulnerability Reproduction,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.14700,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0913,LLM-based Vulnerability Detection at Project Scale,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0914,LLM-BSCVM,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2505.17416,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0916,LLM-Driven SAST-Genius,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0922,LLM-JDFuzz,reproducible validation,not located,not located,not located,not located,not located,public full text; https://mdpi-res.com/d_attachment/electronics/electronics-15-00954/article_deploy/electronics-15-00954.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0925,LLM-SmartAudit,candidate judgment,not located,not located,not located,not located,not located,"Public full text: Sections 3-4, multi-agent conversation workflow, labeled and real-world datasets, final report stage, and evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0927,LLM4CVE,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2501.03446,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0933,LLMs and Fuzzing in Tandem,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2507.05272,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Model,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.10179,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0945,Locus,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://obj.umiacs.umd.edu/locus/2508.21302v3.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0961,Mapping the Exploitation Surface,controlled task completion,located,not located,not located,not located,not located,"Reviewed full text, p. 14",https://github.com/Cmouzouni/e,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0964,MARVEL,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2505.11963,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0966,MASFuzzer,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2604.17977,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0968,Mastermind,reproducible validation,not located,not located,not located,not located,not located,Public full text: system overview and policy/experience loops in Fig. 1; method sections; CyberGym evaluation and verifier definition.,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learni,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2506.17642,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1017,Multi-Agent Penetration Testing AI for the Web,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2508.20816,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1024,Mystique,reproducible validation,not located,not located,not located,not located,not located,public full text; https://chenbihuan.github.io/paper/fse25-wu-mystique.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2504.16057,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1041,Okara,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 3, p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1055,"One Signature, Multiple Payments",candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2511.09134,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1063,Orion,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.15195,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1076,PATCHEVAL,reproducible validation,not located,not located,not located,not located,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1081,Pen-Strategist,controlled task completion,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1, p. 4",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1083,PenForge,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2601.06910,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1087,PentestEval,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2512.14233,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1088,PentestMCP,controlled task completion,not located,not located,not located,not located,not located,public full text; https://assets-eu.researchsquare.com/files/rs-7582841/v1_covered_6b896846-7fe1-4369-88c9-9aba18c15e3f.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1093,PILOT,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2511.20555,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1095,PoCEvolve,reproducible validation,located,not located,located,not located,not located,"Reviewed full text, p. 13",https://github.com/manh-td/pocevolve,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1096,PoCGen,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2506.04962,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1098,PoCo,reproducible validation,located,not located,located,located,located,"Reviewed full text, p. 8",https://github.com/gustavo-grieco/quimera/.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1135,QLCoder,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2511.08462,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1136,QLPro,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2506.23644,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1149,RapidPen,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2502.16730,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1161,Red-MIRROR,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2603.27127,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1227,SAVANT,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2506.17798,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1228,SCAFFOLD-CEGIS,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1233,SCGAgent,reproducible validation,located,located,not located,not located,not located,"Reviewed full text, p. 12",https://github.com/sahil280114/codealpaca,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1239,SEC-bench Pro,reproducible validation,located,located,located,not located,not located,"Reviewed full text, p. 1",https://github.com/SEC-bench/SEC-bench-Pro.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1261,SecureFixAgent,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.16275,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1275,Securing LLM-Generated Embedded Firmware through AI Agent-Driven Validation and ,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.09970,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1279,Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerabi,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2502.18515,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1283,Securing the Dark Matter,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 3",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1299,Security in a Workflow,controlled task completion,not located,not located,not located,not located,not located,"Public full text: Sections 3.1-3.5, especially role workflow and evaluation; Section 4 results and Table 4.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1316,SeedSmith,reproducible validation,not located,not located,not located,not located,not located,Public full text: Sections 4.1-4.3 and Fig. 3; Sections 6.1-6.4; Appendix D-E reproduction material.,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1334,ShadowProbe,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 2",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1338,Sifting the Noise,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2601.22952,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1394,StealthBench,controlled task completion,not located,not located,not located,not located,not located,"Public full text: Sections 1-4, Fig. 1, 14-scenario harness, ATIF trajectories, task-success oracle, and judge protocol.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1473,Tool-Guided Retrieval-Augmented Repair for Securing LLM-Generated C Code,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections 3.1-3.4, compiler and CodeQL feedback loop, repair-pattern repository, KLEE validation, and evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1492,Towards Effective Offensive Security LLM Agents,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2508.05674,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1509,Trace,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 2",https://github.com/BugmakerCC/,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2508.18370,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1530,TypePilot,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 9",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1561,VCAO,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2604.08291,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1571,VEXAIoT,controlled task completion,not located,not located,not located,not located,not located,"Public full text: Section III, Fig. 1, Algorithm 1, attack-execution feedback sequence, and Section IV results.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1573,VIPER-MCP,reproducible validation,not located,not located,not located,not located,not located,Public full text: Section IV and Fig. 2; Algorithm 1; Section V evaluation and Table II; responsible-disclosure discussion.,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1586,VulnBot,controlled task completion,located,not located,not located,not located,not located,"Reviewed full text, p. 8",https://github.com/KHenryAegis/VulnBot.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1592,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 5",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1607,Well Begun is Half Done,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2512.20203,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1613,What You Code Is What We Prove,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.09291,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1618,When Fuzzing Meets Understanding,runtime safety signal,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2607.10340,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1635,xOffense,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.13021,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1639,ZERO-APT,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2606.05567,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS1640,ZeroDayBench,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2603.02297,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
